2018-11-14 18:10:46 (11093851331810) INFO  - START: Middleware listening on address 10.0.0.4:8888.
2018-11-14 18:12:11 (11179266899224) STATS -  5.00, 621, 0, 0.224995, 3.318142, 4.179828, 3.010561, 0.000000, 5.349096, 780, 0, 2329, 0.00, 0.00, 9
2018-11-14 18:12:12 (11179729653654) STATS - SET, 4.9, 37
2018-11-14 18:12:12 (11179729832060) STATS - SET, 5.0, 36
2018-11-14 18:12:12 (11179729956764) STATS - SET, 5.1, 43
2018-11-14 18:12:12 (11179730105069) STATS - SET, 5.2, 40
2018-11-14 18:12:12 (11179730283775) STATS - SET, 5.3, 31
2018-11-14 18:12:12 (11179730407179) STATS - SET, 5.4, 41
2018-11-14 18:12:12 (11179730529483) STATS - SET, 5.5, 27
2018-11-14 18:12:12 (11179730748991) STATS - SET, 5.6, 31
2018-11-14 18:12:12 (11179730920797) STATS - SET, 5.7, 39
2018-11-14 18:12:12 (11179731050601) STATS - SET, 5.8, 29
2018-11-14 18:12:12 (11179731180905) STATS - SET, 5.9, 26
2018-11-14 18:12:12 (11179731301310) STATS - SET, 6.0, 32
2018-11-14 18:12:12 (11179731431214) STATS - SET, 6.1, 28
2018-11-14 18:12:12 (11179731548118) STATS - SET, 6.2, 40
2018-11-14 18:12:12 (11179731703123) STATS - SET, 6.3, 23
2018-11-14 18:12:12 (11179731828727) STATS - SET, 6.4, 24
2018-11-14 18:12:12 (11179731969532) STATS - SET, 6.5, 33
2018-11-14 18:12:12 (11179732165239) STATS - SET, 6.6, 29
2018-11-14 18:12:12 (11179732292943) STATS - SET, 6.7, 34
2018-11-14 18:12:12 (11179739311182) STATS - SET, 6.8, 30
2018-11-14 18:12:12 (11179739478588) STATS - SET, 6.9, 28
2018-11-14 18:12:12 (11179739729996) STATS - SET, 7.0, 24
2018-11-14 18:12:12 (11179739849400) STATS - SET, 7.1, 38
2018-11-14 18:12:12 (11179739999705) STATS - SET, 7.2, 49
2018-11-14 18:12:12 (11179740159811) STATS - SET, 7.3, 44
2018-11-14 18:12:12 (11179740281515) STATS - SET, 7.4, 39
2018-11-14 18:12:12 (11179740427920) STATS - SET, 7.5, 48
2018-11-14 18:12:12 (11179740570525) STATS - SET, 7.6, 31
2018-11-14 18:12:12 (11179740691329) STATS - SET, 7.7, 38
2018-11-14 18:12:12 (11179740810633) STATS - SET, 7.8, 35
