Elapsed Time, AVG Throughput, AVG Queue Size, AVG Waiting Time, AVG Service Time, AVG Response Time, AVG SET Response Time, AVG GET Response Time, AVG MULTI-GET Response Time, #SETS, #GETS, #MULTIGETS, GET MissRatio, MULTI-GET MissRatio, AVG MULTI-GET Size
SET, 18.0, 2093
SET, 18.1, 2108
SET, 18.2, 2114
SET, 18.3, 2167
SET, 18.4, 2238
SET, 18.5, 2204
SET, 18.6, 2201
SET, 18.7, 2282
SET, 18.8, 2418
SET, 18.9, 2454
SET, 19.0, 2534
SET, 19.1, 2467
SET, 19.2, 2448
SET, 19.3, 2393
SET, 19.4, 2455
SET, 19.5, 2525
SET, 19.6, 2532
SET, 19.7, 2536
SET, 19.8, 2690
SET, 19.9, 2658
SET, 20.0, 2707
SET, 20.1, 2671
SET, 20.2, 2705
SET, 20.3, 2764
SET, 20.4, 2747
SET, 20.5, 2743
SET, 20.6, 2884
SET, 20.7, 2926
SET, 20.8, 2873
SET, 20.9, 2875
SET, 21.0, 2885
SET, 21.1, 3099
SET, 21.2, 2950
SET, 21.3, 2972
SET, 21.4, 3084
SET, 21.5, 3045
SET, 21.6, 3006
SET, 21.7, 3017
SET, 21.8, 3036
SET, 21.9, 3166
SET, 22.0, 3082
SET, 22.1, 3166
SET, 22.2, 3151
SET, 22.3, 3129
SET, 22.4, 3167
SET, 22.5, 3107
SET, 22.6, 3183
SET, 22.7, 3202
SET, 22.8, 3162
SET, 22.9, 3258
SET, 23.0, 3197
SET, 23.1, 3129
SET, 23.2, 3159
SET, 23.3, 3129
SET, 23.4, 3093
SET, 23.5, 3130
SET, 23.6, 3079
SET, 23.7, 3076
SET, 23.8, 3099
SET, 23.9, 3078
SET, 24.0, 2997
SET, 24.1, 3045
SET, 24.2, 2918
SET, 24.3, 2972
SET, 24.4, 2965
SET, 24.5, 2949
SET, 24.6, 2781
SET, 24.7, 2868
SET, 24.8, 2817
SET, 24.9, 2813
SET, 25.0, 2854
SET, 25.1, 2798
SET, 25.2, 2696
SET, 25.3, 2677
SET, 25.4, 2639
SET, 25.5, 2753
SET, 25.6, 2651
SET, 25.7, 2709
SET, 25.8, 2509
SET, 25.9, 2451
SET, 26.0, 2454
SET, 26.1, 2466
SET, 26.2, 2419
SET, 26.3, 2432
SET, 26.4, 2289
SET, 26.5, 2350
SET, 26.6, 2261
SET, 26.7, 2248
SET, 26.8, 2288
SET, 26.9, 2231
SET, 27.0, 2165
SET, 27.1, 2207
SET, 27.2, 2039
SET, 27.3, 2064
SET, 27.4, 2073
SET, 27.5, 2003
SET, 27.6, 1954
SET, 27.7, 2056
SET, 27.8, 1950
SET, 27.9, 1833
SET, 28.0, 1793
SET, 28.1, 1848
SET, 28.2, 1783
SET, 28.3, 1869
SET, 28.4, 1753
SET, 28.5, 1730
SET, 28.6, 1741
SET, 28.7, 1651
SET, 28.8, 1687
SET, 28.9, 1587
SET, 29.0, 1529
SET, 29.1, 1600
SET, 29.2, 1557
