ratios,wts,vcs,runs,mws,Throughput (ops/s),ResponseTime (ms),Jobs,ServiceTime (ms),WaitingTime (ms),QueueSize
1:0,8,32,1,1,5614.92,31.30,389947.00,1.25,29.98,167.46
1:0,8,32,2,1,6044.92,28.85,420880.00,1.17,27.62,165.77
1:0,8,32,3,1,5736.85,30.51,398076.00,1.23,29.21,167.08
1:0,32,32,1,1,10472.00,13.81,726807.00,2.66,11.02,112.92
1:0,32,32,2,1,10453.08,13.80,724727.00,2.69,10.97,112.15
1:0,32,32,3,1,10685.00,13.51,740425.00,2.67,10.70,111.38
0:1,8,32,1,1,2936.46,62.46,205262.00,2.67,59.73,171.15
0:1,8,32,2,1,2934.08,62.43,205457.00,2.67,59.70,170.77
0:1,8,32,3,1,2940.23,60.20,205515.00,2.67,57.47,164.38
0:1,32,32,1,1,2946.69,61.96,206495.00,10.78,51.10,140.46
0:1,32,32,2,1,2941.69,62.04,205910.00,10.80,51.16,140.46
0:1,32,32,3,1,2941.31,62.05,205945.00,10.80,51.16,140.46
