ratios,wts,vcs,runs,mws,Throughput (ops/s),ResponseTime (ms),Jobs,ServiceTime (ms),WaitingTime (ms),QueueSize
1:0,8,32,1,1,5810.46,13.72,405041.00,1.24,12.42,67.62
1:0,8,32,1,2,4728.85,17.47,330938.00,1.54,15.87,71.62
1:0,8,32,2,1,6149.62,12.80,428168.00,1.17,11.57,66.92
1:0,8,32,2,2,4928.15,16.67,343541.00,1.47,15.14,71.62
1:0,8,32,3,1,5953.08,13.08,415041.00,1.18,11.84,67.15
1:0,8,32,3,2,5397.23,15.04,375942.00,1.35,13.63,70.00
1:0,32,32,1,1,8011.38,8.66,554619.00,3.32,5.22,35.69
1:0,32,32,1,2,7649.62,9.34,530776.00,3.62,5.60,37.00
1:0,32,32,2,1,8064.77,8.54,560535.00,3.29,5.14,35.62
1:0,32,32,2,2,7885.15,8.95,548090.00,3.50,5.33,35.77
1:0,32,32,3,1,7829.62,8.69,544208.00,3.36,5.22,36.15
1:0,32,32,3,2,7820.92,9.01,544110.00,3.52,5.38,36.00
0:1,8,32,1,1,1620.92,56.15,115637.00,4.89,51.21,78.00
0:1,8,32,1,2,1310.08,70.44,91909.00,6.06,64.33,80.00
0:1,8,32,2,1,1611.62,56.56,112955.00,4.92,51.60,78.23
0:1,8,32,2,2,1318.62,69.96,92325.00,6.02,63.89,80.00
0:1,8,32,3,1,1610.46,56.71,113005.00,4.92,51.74,78.23
0:1,8,32,3,2,1325.77,69.56,92836.00,5.99,63.51,79.92
0:1,32,32,1,1,1524.85,59.78,107445.00,20.92,38.80,53.31
0:1,32,32,1,2,1406.08,65.35,98486.00,22.69,42.59,54.00
0:1,32,32,2,1,1523.46,59.91,106666.00,20.94,38.91,53.23
0:1,32,32,2,2,1412.31,64.99,98983.00,22.59,42.34,54.00
0:1,32,32,3,1,1527.92,59.72,107829.00,20.88,38.78,53.08
0:1,32,32,3,2,1415.08,64.93,99052.00,22.53,42.33,54.00
