Elapsed Time, AVG Throughput, AVG Queue Size, AVG Waiting Time, AVG Service Time, AVG Response Time, AVG SET Response Time, AVG GET Response Time, AVG MULTI-GET Response Time, #SETS, #GETS, #MULTIGETS, GET MissRatio, MULTI-GET MissRatio, AVG MULTI-GET Size
 5.00, 1545, 50, 36.254231, 19.250104, 55.779105, 0.000000, 55.779105, 0.000000, 0, 7728, 0, 0.00, 0.00, 0
10.00, 1506, 53, 39.221568, 21.225181, 60.491595, 0.000000, 60.491595, 0.000000, 0, 7531, 0, 0.00, 0.00, 0
15.00, 1570, 53, 37.634775, 20.309674, 57.987227, 0.000000, 57.987227, 0.000000, 0, 7850, 0, 0.00, 0.00, 0
20.00, 1529, 54, 38.779253, 20.880078, 59.726191, 0.000000, 59.726191, 0.000000, 0, 7646, 0, 0.00, 0.00, 0
25.00, 1503, 53, 39.445243, 21.193362, 60.689220, 0.000000, 60.689220, 0.000000, 0, 7516, 0, 0.00, 0.00, 0
30.00, 1493, 53, 39.850882, 21.403638, 61.322211, 0.000000, 61.322211, 0.000000, 0, 7467, 0, 0.00, 0.00, 0
35.00, 1508, 53, 39.283316, 21.124127, 60.460449, 0.000000, 60.460449, 0.000000, 0, 7540, 0, 0.00, 0.00, 0
40.00, 1537, 54, 38.482007, 20.739756, 59.323117, 0.000000, 59.323117, 0.000000, 0, 7687, 0, 0.00, 0.00, 0
45.00, 1532, 53, 38.611434, 20.810703, 59.479715, 0.000000, 59.479715, 0.000000, 0, 7664, 0, 0.00, 0.00, 0
50.00, 1531, 53, 38.482891, 20.825523, 59.361453, 0.000000, 59.361453, 0.000000, 0, 7658, 0, 0.00, 0.00, 0
55.00, 1504, 54, 39.363537, 21.266320, 60.673540, 0.000000, 60.673540, 0.000000, 0, 7522, 0, 0.00, 0.00, 0
60.00, 1545, 53, 38.125131, 20.600692, 58.793364, 0.000000, 58.793364, 0.000000, 0, 7729, 0, 0.00, 0.00, 0
65.00, 1543, 53, 38.200416, 20.706056, 58.962972, 0.000000, 58.962972, 0.000000, 0, 7718, 0, 0.00, 0.00, 0
70.00, 1522, 54, 38.915393, 20.909115, 59.903887, 0.000000, 59.903887, 0.000000, 0, 7614, 0, 0.00, 0.00, 0
70.00, 115, 5, 8.156059, 20.942344, 29.131366, 0.000000, 29.131366, 0.000000, 0, 575, 0, 0.00, 0.00, 0
Type, Interval, Responses
GET, 0.1, 0
GET, 0.2, 0
GET, 0.3, 0
GET, 0.4, 0
GET, 0.5, 0
GET, 0.6, 0
GET, 0.7, 1
GET, 0.8, 1
GET, 0.9, 2
GET, 1.0, 6
GET, 1.1, 3
GET, 1.2, 2
GET, 1.3, 5
GET, 1.4, 2
GET, 1.5, 2
GET, 1.6, 4
GET, 1.7, 5
GET, 1.8, 0
GET, 1.9, 4
GET, 2.0, 2
GET, 2.1, 3
GET, 2.2, 6
GET, 2.3, 3
GET, 2.4, 4
GET, 2.5, 4
GET, 2.6, 5
GET, 2.7, 1
GET, 2.8, 3
GET, 2.9, 3
GET, 3.0, 1
GET, 3.1, 1
GET, 3.2, 6
GET, 3.3, 0
GET, 3.4, 4
GET, 3.5, 1
GET, 3.6, 2
GET, 3.7, 3
GET, 3.8, 2
GET, 3.9, 1
GET, 4.0, 1
GET, 4.1, 0
GET, 4.2, 4
GET, 4.3, 1
GET, 4.4, 4
GET, 4.5, 2
GET, 4.6, 7
GET, 4.7, 5
GET, 4.8, 0
GET, 4.9, 2
GET, 5.0, 1
GET, 5.1, 4
GET, 5.2, 2
GET, 5.3, 1
GET, 5.4, 1
GET, 5.5, 3
GET, 5.6, 1
GET, 5.7, 3
GET, 5.8, 1
GET, 5.9, 0
GET, 6.0, 0
GET, 6.1, 2
GET, 6.2, 0
GET, 6.3, 1
GET, 6.4, 3
GET, 6.5, 5
GET, 6.6, 6
GET, 6.7, 3
GET, 6.8, 7
GET, 6.9, 5
GET, 7.0, 3
GET, 7.1, 4
GET, 7.2, 5
GET, 7.3, 2
GET, 7.4, 7
GET, 7.5, 0
GET, 7.6, 7
GET, 7.7, 9
GET, 7.8, 5
GET, 7.9, 9
GET, 8.0, 8
GET, 8.1, 6
GET, 8.2, 5
GET, 8.3, 5
GET, 8.4, 9
GET, 8.5, 6
GET, 8.6, 21
GET, 8.7, 10
GET, 8.8, 5
GET, 8.9, 7
GET, 9.0, 5
GET, 9.1, 7
GET, 9.2, 6
GET, 9.3, 10
GET, 9.4, 11
GET, 9.5, 8
GET, 9.6, 6
GET, 9.7, 4
GET, 9.8, 9
GET, 9.9, 10
GET, 10.0, 5
GET, 10.1, 3
GET, 10.2, 6
GET, 10.3, 13
GET, 10.4, 10
GET, 10.5, 4
GET, 10.6, 9
GET, 10.7, 12
GET, 10.8, 6
GET, 10.9, 3
