Elapsed Time, AVG Throughput, AVG Queue Size, AVG Waiting Time, AVG Service Time, AVG Response Time, AVG SET Response Time, AVG GET Response Time, AVG MULTI-GET Response Time, #SETS, #GETS, #MULTIGETS, GET MissRatio, MULTI-GET MissRatio, AVG MULTI-GET Size
 5.00, 730, 0, 0.115443, 1.722032, 1.943552, 1.943552, 0.000000, 0.000000, 3654, 0, 0, 0.00, 0.00, 0
10.00, 888, 0, 0.089652, 1.432356, 1.598027, 1.598027, 0.000000, 0.000000, 4440, 0, 0, 0.00, 0.00, 0
15.00, 867, 0, 0.108392, 1.455017, 1.629356, 1.629356, 0.000000, 0.000000, 4335, 0, 0, 0.00, 0.00, 0
20.00, 914, 0, 0.091044, 1.380810, 1.537554, 1.537554, 0.000000, 0.000000, 4573, 0, 0, 0.00, 0.00, 0
25.00, 922, 0, 0.091997, 1.366363, 1.536288, 1.536288, 0.000000, 0.000000, 4613, 0, 0, 0.00, 0.00, 0
30.00, 894, 0, 0.100576, 1.427687, 1.581205, 1.581205, 0.000000, 0.000000, 4471, 0, 0, 0.00, 0.00, 0
35.00, 876, 0, 0.096407, 1.456590, 1.610198, 1.610198, 0.000000, 0.000000, 4381, 0, 0, 0.00, 0.00, 0
40.00, 883, 0, 0.100175, 1.454708, 1.627765, 1.627765, 0.000000, 0.000000, 4419, 0, 0, 0.00, 0.00, 0
45.00, 884, 0, 0.087581, 1.406493, 1.561472, 1.561472, 0.000000, 0.000000, 4420, 0, 0, 0.00, 0.00, 0
50.00, 834, 0, 0.095269, 1.558344, 1.731087, 1.731087, 0.000000, 0.000000, 4172, 0, 0, 0.00, 0.00, 0
55.00, 869, 0, 0.090401, 1.468251, 1.637030, 1.637030, 0.000000, 0.000000, 4347, 0, 0, 0.00, 0.00, 0
60.00, 896, 0, 0.093462, 1.399804, 1.557526, 1.557526, 0.000000, 0.000000, 4481, 0, 0, 0.00, 0.00, 0
65.00, 887, 0, 0.094635, 1.409057, 1.574586, 1.574586, 0.000000, 0.000000, 4438, 0, 0, 0.00, 0.00, 0
70.00, 893, 0, 0.092188, 1.393994, 1.543387, 1.543387, 0.000000, 0.000000, 4468, 0, 0, 0.00, 0.00, 0
70.00, 13, 0, 0.081203, 1.207001, 1.429161, 1.429161, 0.000000, 0.000000, 67, 0, 0, 0.00, 0.00, 0
Interval, Responses
0.1, 0
0.2, 0
0.3, 0
0.4, 0
0.5, 0
0.6, 216
0.7, 2933
0.8, 6873
0.9, 9543
1.0, 9568
1.1, 7000
1.2, 4571
1.3, 3181
1.4, 2416
1.5, 1652
1.6, 1384
1.7, 1085
1.8, 878
1.9, 716
2.0, 600
2.1, 524
2.2, 421
2.3, 344
2.4, 318
2.5, 250
2.6, 235
2.7, 202
2.8, 171
2.9, 147
3.0, 120
3.1, 102
3.2, 102
3.3, 92
3.4, 91
3.5, 98
3.6, 90
3.7, 88
3.8, 80
3.9, 91
4.0, 73
4.1, 78
4.2, 79
4.3, 86
4.4, 78
4.5, 94
4.6, 85
4.7, 100
4.8, 86
4.9, 83
5.0, 85
5.1, 92
5.2, 108
5.3, 91
5.4, 89
5.5, 103
5.6, 95
5.7, 95
5.8, 88
5.9, 88
6.0, 96
6.1, 96
6.2, 102
6.3, 94
6.4, 105
6.5, 102
6.6, 157
6.7, 116
6.8, 134
6.9, 131
7.0, 135
7.1, 168
7.2, 168
7.3, 189
7.4, 167
7.5, 161
7.6, 129
7.7, 97
7.8, 82
7.9, 88
8.0, 63
8.1, 61
8.2, 44
8.3, 35
8.4, 23
8.5, 27
8.6, 24
8.7, 27
8.8, 21
8.9, 17
9.0, 14
9.1, 14
9.2, 10
9.3, 16
9.4, 14
9.5, 16
9.6, 18
9.7, 20
9.8, 12
9.9, 16
10.0, 37
10.1, 34
10.2, 11
10.3, 6
10.4, 3
10.5, 11
10.6, 5
10.7, 11
10.8, 9
10.9, 6
11.0, 9
11.1, 2
11.2, 5
11.3, 4
11.4, 5
11.5, 5
11.6, 3
11.7, 5
11.8, 3
11.9, 2
12.0, 3
12.1, 4
12.2, 1
12.3, 2
12.4, 4
12.5, 2
12.6, 0
12.7, 1
12.8, 1
12.9, 1
13.0, 1
13.1, 3
13.2, 3
13.3, 1
13.4, 1
13.5, 1
13.6, 1
13.7, 2
13.8, 0
13.9, 0
14.0, 0
14.1, 3
14.2, 2
14.3, 1
14.4, 0
14.5, 1
14.6, 2
14.7, 2
14.8, 1
14.9, 0
15.0, 1
15.1, 0
15.2, 1
15.3, 1
15.4, 1
15.5, 0
15.6, 1
15.7, 3
15.8, 2
15.9, 2
16.0, 0
16.1, 0
16.2, 0
16.3, 0
16.4, 0
16.5, 2
16.6, 2
16.7, 0
