Elapsed Time, AVG Throughput, AVG Queue Size, AVG Waiting Time, AVG Service Time, AVG Response Time, AVG SET Response Time, AVG GET Response Time, AVG MULTI-GET Response Time, #SETS, #GETS, #MULTIGETS, GET MissRatio, MULTI-GET MissRatio, AVG MULTI-GET Size
 5.00, 4089, 17, 4.484229, 3.249607, 7.818841, 7.818841, 0.000000, 0.000000, 20449, 0, 0, 0.00, 0.00, 0
10.00, 4875, 18, 3.844445, 2.662861, 6.594685, 6.594685, 0.000000, 0.000000, 24377, 0, 0, 0.00, 0.00, 0
15.00, 4724, 18, 4.192961, 2.986272, 7.263956, 7.263956, 0.000000, 0.000000, 23622, 0, 0, 0.00, 0.00, 0
20.00, 4953, 18, 3.804754, 2.634850, 6.514093, 6.514093, 0.000000, 0.000000, 24768, 0, 0, 0.00, 0.00, 0
25.00, 4772, 18, 3.888910, 2.835541, 6.796816, 6.796816, 0.000000, 0.000000, 23863, 0, 0, 0.00, 0.00, 0
30.00, 4812, 18, 3.929322, 2.832213, 6.819858, 6.819858, 0.000000, 0.000000, 24063, 0, 0, 0.00, 0.00, 0
35.00, 4769, 18, 3.921319, 2.865026, 6.856309, 6.856309, 0.000000, 0.000000, 23846, 0, 0, 0.00, 0.00, 0
40.00, 4509, 18, 4.342907, 3.079977, 7.500029, 7.500029, 0.000000, 0.000000, 22545, 0, 0, 0.00, 0.00, 0
45.00, 4882, 18, 3.834821, 2.763045, 6.673254, 6.673254, 0.000000, 0.000000, 24413, 0, 0, 0.00, 0.00, 0
50.00, 4745, 18, 4.047671, 2.877118, 6.992778, 6.992778, 0.000000, 0.000000, 23727, 0, 0, 0.00, 0.00, 0
55.00, 4692, 18, 4.164097, 2.955837, 7.176507, 7.176507, 0.000000, 0.000000, 23460, 0, 0, 0.00, 0.00, 0
60.00, 4672, 18, 4.284238, 3.065373, 7.413399, 7.413399, 0.000000, 0.000000, 23360, 0, 0, 0.00, 0.00, 0
65.00, 4777, 18, 4.018720, 2.767651, 6.850070, 6.850070, 0.000000, 0.000000, 23887, 0, 0, 0.00, 0.00, 0
70.00, 4766, 18, 3.973879, 2.843994, 6.876092, 6.876092, 0.000000, 0.000000, 23834, 0, 0, 0.00, 0.00, 0
70.00, 161, 4, 1.505167, 3.772091, 5.322270, 5.322270, 0.000000, 0.000000, 805, 0, 0, 0.00, 0.00, 0
Interval, Responses
0.1, 0
0.2, 0
0.3, 0
0.4, 0
0.5, 1
0.6, 61
0.7, 397
0.8, 931
0.9, 1594
1.0, 2200
1.1, 2533
1.2, 2680
1.3, 2630
1.4, 2419
1.5, 2318
1.6, 2376
1.7, 2340
1.8, 2233
1.9, 2321
2.0, 2443
2.1, 2467
2.2, 2489
2.3, 2635
2.4, 2938
2.5, 2893
2.6, 3110
2.7, 3259
2.8, 3369
2.9, 3480
3.0, 3396
3.1, 3410
3.2, 3326
3.3, 3216
3.4, 3235
3.5, 3188
3.6, 3301
3.7, 3133
3.8, 3012
3.9, 2900
4.0, 2860
4.1, 2762
4.2, 2912
4.3, 2726
4.4, 2651
4.5, 2668
4.6, 2616
4.7, 2636
4.8, 2678
4.9, 2526
5.0, 2499
5.1, 2527
5.2, 2581
5.3, 2715
5.4, 2663
5.5, 2604
5.6, 2578
5.7, 2652
5.8, 2624
5.9, 2504
6.0, 2712
6.1, 2539
6.2, 2493
6.3, 2534
6.4, 2493
6.5, 2460
6.6, 2410
6.7, 2426
6.8, 2407
6.9, 2462
7.0, 2518
7.1, 2498
7.2, 2345
7.3, 2518
7.4, 2474
7.5, 2591
7.6, 2667
7.7, 2692
7.8, 2702
7.9, 2880
8.0, 2933
8.1, 3073
8.2, 2982
8.3, 3177
8.4, 3277
8.5, 3205
8.6, 3122
8.7, 3146
8.8, 3264
8.9, 3475
9.0, 3623
9.1, 3791
9.2, 4074
9.3, 4501
9.4, 4645
9.5, 4990
9.6, 5357
9.7, 5124
9.8, 4635
9.9, 4185
10.0, 3736
10.1, 3454
10.2, 3133
10.3, 2834
10.4, 2673
10.5, 2458
10.6, 2327
10.7, 2078
10.8, 1949
10.9, 1790
11.0, 1619
11.1, 1425
11.2, 1359
11.3, 1282
11.4, 1259
11.5, 1146
11.6, 1169
11.7, 1076
11.8, 1022
11.9, 927
12.0, 838
12.1, 825
12.2, 776
12.3, 735
12.4, 664
12.5, 669
12.6, 657
12.7, 616
12.8, 511
12.9, 498
13.0, 459
13.1, 419
13.2, 428
13.3, 417
13.4, 430
13.5, 398
13.6, 462
13.7, 397
13.8, 363
13.9, 349
14.0, 337
14.1, 338
14.2, 317
14.3, 307
14.4, 354
14.5, 333
14.6, 303
14.7, 297
14.8, 288
14.9, 280
15.0, 284
15.1, 279
15.2, 255
15.3, 228
15.4, 234
15.5, 226
