Elapsed Time, AVG Throughput, AVG Queue Size, AVG Waiting Time, AVG Service Time, AVG Response Time, AVG SET Response Time, AVG GET Response Time, AVG MULTI-GET Response Time, #SETS, #GETS, #MULTIGETS, GET MissRatio, MULTI-GET MissRatio, AVG MULTI-GET Size
 5.00, 4095, 64, 16.062409, 3.489963, 19.649597, 19.649597, 0.000000, 0.000000, 20479, 0, 0, 0.00, 0.00, 0
10.00, 4658, 64, 14.284648, 3.241010, 17.595496, 17.595496, 0.000000, 0.000000, 23293, 0, 0, 0.00, 0.00, 0
15.00, 5075, 61, 12.630602, 2.948712, 15.643171, 15.643171, 0.000000, 0.000000, 25375, 0, 0, 0.00, 0.00, 0
20.00, 5206, 61, 12.288215, 2.867785, 15.213639, 15.213639, 0.000000, 0.000000, 26030, 0, 0, 0.00, 0.00, 0
25.00, 4999, 63, 13.071183, 3.010304, 16.142686, 16.142686, 0.000000, 0.000000, 24997, 0, 0, 0.00, 0.00, 0
30.00, 4934, 64, 13.415497, 3.054651, 16.536493, 16.536493, 0.000000, 0.000000, 24672, 0, 0, 0.00, 0.00, 0
35.00, 5125, 62, 12.668564, 2.936241, 15.660651, 15.660651, 0.000000, 0.000000, 25625, 0, 0, 0.00, 0.00, 0
40.00, 4842, 63, 13.616961, 3.112779, 16.799564, 16.799564, 0.000000, 0.000000, 24214, 0, 0, 0.00, 0.00, 0
45.00, 5124, 62, 12.580632, 2.929501, 15.563391, 15.563391, 0.000000, 0.000000, 25623, 0, 0, 0.00, 0.00, 0
50.00, 4999, 62, 13.047545, 3.008796, 16.121337, 16.121337, 0.000000, 0.000000, 24999, 0, 0, 0.00, 0.00, 0
55.00, 4947, 63, 13.298205, 3.036696, 16.402319, 16.402319, 0.000000, 0.000000, 24738, 0, 0, 0.00, 0.00, 0
60.00, 4773, 63, 13.842352, 3.172872, 17.071747, 17.071747, 0.000000, 0.000000, 23867, 0, 0, 0.00, 0.00, 0
65.00, 4642, 65, 14.507899, 3.239471, 17.827043, 17.827043, 0.000000, 0.000000, 23211, 0, 0, 0.00, 0.00, 0
70.00, 4613, 64, 14.612888, 3.274676, 17.956218, 17.956218, 0.000000, 0.000000, 23065, 0, 0, 0.00, 0.00, 0
70.00, 188, 15, 3.718156, 2.975140, 6.829504, 6.829504, 0.000000, 0.000000, 942, 0, 0, 0.00, 0.00, 0
Interval, Responses
0.1, 0
0.2, 0
0.3, 0
0.4, 0
0.5, 0
0.6, 0
0.7, 4
0.8, 5
0.9, 11
1.0, 18
1.1, 20
1.2, 13
1.3, 12
1.4, 12
1.5, 25
1.6, 28
1.7, 12
1.8, 14
1.9, 24
2.0, 19
2.1, 19
2.2, 18
2.3, 17
2.4, 31
2.5, 19
2.6, 23
2.7, 10
2.8, 14
2.9, 22
3.0, 14
3.1, 22
3.2, 24
3.3, 24
3.4, 15
3.5, 26
3.6, 17
3.7, 19
3.8, 23
3.9, 12
4.0, 23
4.1, 21
4.2, 36
4.3, 29
4.4, 32
4.5, 36
4.6, 37
4.7, 41
4.8, 33
4.9, 35
5.0, 56
5.1, 55
5.2, 57
5.3, 68
5.4, 32
5.5, 58
5.6, 79
5.7, 65
5.8, 104
5.9, 89
6.0, 98
6.1, 115
6.2, 100
6.3, 91
6.4, 118
6.5, 155
6.6, 168
6.7, 189
6.8, 251
6.9, 227
7.0, 253
7.1, 340
7.2, 309
7.3, 307
7.4, 331
7.5, 378
7.6, 363
7.7, 392
7.8, 408
7.9, 492
8.0, 544
8.1, 551
8.2, 606
8.3, 674
8.4, 735
8.5, 700
8.6, 744
8.7, 818
8.8, 855
8.9, 838
9.0, 876
9.1, 918
9.2, 986
9.3, 982
9.4, 969
9.5, 1179
9.6, 1049
9.7, 1170
9.8, 1212
9.9, 1331
10.0, 1326
10.1, 1298
10.2, 1440
10.3, 1528
10.4, 1537
10.5, 1693
10.6, 1933
10.7, 1847
10.8, 1888
10.9, 1964
11.0, 1984
11.1, 1903
11.2, 1832
11.3, 1950
11.4, 2019
11.5, 2043
11.6, 2052
11.7, 2067
11.8, 2061
11.9, 2355
12.0, 2319
12.1, 2326
12.2, 2298
12.3, 2277
12.4, 2290
12.5, 2256
12.6, 2335
12.7, 2271
12.8, 2259
12.9, 2232
13.0, 2311
13.1, 2351
13.2, 2365
13.3, 2362
13.4, 2395
13.5, 2415
13.6, 2540
13.7, 2554
13.8, 2563
13.9, 2564
14.0, 2598
14.1, 2439
14.2, 2678
14.3, 2746
14.4, 2736
14.5, 2849
14.6, 2681
14.7, 2666
14.8, 2831
14.9, 2897
15.0, 2826
15.1, 2815
15.2, 2784
15.3, 2805
15.4, 2763
15.5, 2749
15.6, 2731
15.7, 2670
15.8, 2684
15.9, 2538
16.0, 2558
16.1, 2630
