Elapsed Time, AVG Throughput, AVG Queue Size, AVG Waiting Time, AVG Service Time, AVG Response Time, AVG SET Response Time, AVG GET Response Time, AVG MULTI-GET Response Time, #SETS, #GETS, #MULTIGETS, GET MissRatio, MULTI-GET MissRatio, AVG MULTI-GET Size
 5.00, 4676, 39, 8.610423, 5.658815, 14.491148, 14.491148, 0.000000, 0.000000, 23380, 0, 0, 0.00, 0.00, 0
10.00, 5511, 40, 7.748804, 5.184736, 13.126951, 13.126951, 0.000000, 0.000000, 27558, 0, 0, 0.00, 0.00, 0
15.00, 5637, 40, 7.482606, 5.110374, 12.743151, 12.743151, 0.000000, 0.000000, 28186, 0, 0, 0.00, 0.00, 0
20.00, 5553, 43, 8.021838, 5.218609, 13.379842, 13.379842, 0.000000, 0.000000, 27765, 0, 0, 0.00, 0.00, 0
25.00, 5227, 43, 8.936542, 5.611386, 14.656935, 14.656935, 0.000000, 0.000000, 26139, 0, 0, 0.00, 0.00, 0
30.00, 5592, 43, 8.067568, 5.169341, 13.390787, 13.390787, 0.000000, 0.000000, 27963, 0, 0, 0.00, 0.00, 0
35.00, 5385, 42, 8.304683, 5.292229, 13.756450, 13.756450, 0.000000, 0.000000, 26927, 0, 0, 0.00, 0.00, 0
40.00, 5558, 43, 8.380110, 5.273314, 13.778848, 13.778848, 0.000000, 0.000000, 27793, 0, 0, 0.00, 0.00, 0
45.00, 5581, 42, 7.871967, 5.147022, 13.162621, 13.162621, 0.000000, 0.000000, 27907, 0, 0, 0.00, 0.00, 0
50.00, 5669, 41, 7.697516, 5.111097, 12.938092, 12.938092, 0.000000, 0.000000, 28346, 0, 0, 0.00, 0.00, 0
55.00, 5560, 42, 7.913107, 5.189928, 13.221767, 13.221767, 0.000000, 0.000000, 27801, 0, 0, 0.00, 0.00, 0
60.00, 5543, 43, 8.144421, 5.203622, 13.502231, 13.502231, 0.000000, 0.000000, 27718, 0, 0, 0.00, 0.00, 0
65.00, 5666, 41, 7.591091, 5.114362, 12.841369, 12.841369, 0.000000, 0.000000, 28330, 0, 0, 0.00, 0.00, 0
70.00, 5551, 43, 8.033173, 5.208349, 13.371842, 13.371842, 0.000000, 0.000000, 27755, 0, 0, 0.00, 0.00, 0
70.00, 168, 14, 3.430887, 4.347829, 8.030665, 8.030665, 0.000000, 0.000000, 840, 0, 0, 0.00, 0.00, 0
Type, Interval, Responses
SET, 0.1, 0
SET, 0.2, 0
SET, 0.3, 0
SET, 0.4, 0
SET, 0.5, 1
SET, 0.6, 6
SET, 0.7, 36
SET, 0.8, 82
SET, 0.9, 108
SET, 1.0, 135
SET, 1.1, 146
SET, 1.2, 187
SET, 1.3, 174
SET, 1.4, 184
SET, 1.5, 193
SET, 1.6, 185
SET, 1.7, 228
SET, 1.8, 229
SET, 1.9, 238
SET, 2.0, 225
SET, 2.1, 206
SET, 2.2, 217
SET, 2.3, 228
SET, 2.4, 207
SET, 2.5, 192
SET, 2.6, 199
SET, 2.7, 208
SET, 2.8, 225
SET, 2.9, 224
SET, 3.0, 209
SET, 3.1, 197
SET, 3.2, 230
SET, 3.3, 230
SET, 3.4, 267
SET, 3.5, 270
SET, 3.6, 265
SET, 3.7, 281
SET, 3.8, 284
SET, 3.9, 328
SET, 4.0, 325
SET, 4.1, 341
SET, 4.2, 339
SET, 4.3, 353
SET, 4.4, 404
SET, 4.5, 439
SET, 4.6, 408
SET, 4.7, 452
SET, 4.8, 492
SET, 4.9, 541
SET, 5.0, 529
SET, 5.1, 533
SET, 5.2, 613
SET, 5.3, 637
SET, 5.4, 671
SET, 5.5, 707
SET, 5.6, 734
SET, 5.7, 750
SET, 5.8, 803
SET, 5.9, 885
SET, 6.0, 866
SET, 6.1, 949
SET, 6.2, 916
SET, 6.3, 957
SET, 6.4, 1038
SET, 6.5, 1070
SET, 6.6, 1119
SET, 6.7, 1130
SET, 6.8, 1207
SET, 6.9, 1250
SET, 7.0, 1400
SET, 7.1, 1514
SET, 7.2, 1535
SET, 7.3, 1560
SET, 7.4, 1590
SET, 7.5, 1697
SET, 7.6, 1697
SET, 7.7, 1836
SET, 7.8, 1925
SET, 7.9, 1962
SET, 8.0, 1988
SET, 8.1, 2110
SET, 8.2, 2012
SET, 8.3, 2081
SET, 8.4, 2272
SET, 8.5, 2406
SET, 8.6, 2476
SET, 8.7, 2517
SET, 8.8, 2653
SET, 8.9, 2721
SET, 9.0, 2676
SET, 9.1, 2676
SET, 9.2, 2789
SET, 9.3, 2928
SET, 9.4, 2840
SET, 9.5, 2970
SET, 9.6, 2926
SET, 9.7, 3016
SET, 9.8, 3111
SET, 9.9, 3204
SET, 10.0, 3086
SET, 10.1, 3168
SET, 10.2, 3132
SET, 10.3, 3248
SET, 10.4, 3252
SET, 10.5, 3303
SET, 10.6, 3327
SET, 10.7, 3320
SET, 10.8, 3283
SET, 10.9, 3264
SET, 11.0, 3346
SET, 11.1, 3457
SET, 11.2, 3283
SET, 11.3, 3377
SET, 11.4, 3333
SET, 11.5, 3304
SET, 11.6, 3325
SET, 11.7, 3262
SET, 11.8, 3257
SET, 11.9, 3225
SET, 12.0, 3224
SET, 12.1, 3153
SET, 12.2, 3162
SET, 12.3, 3212
SET, 12.4, 3279
SET, 12.5, 3309
SET, 12.6, 3157
SET, 12.7, 3211
SET, 12.8, 3185
SET, 12.9, 3209
SET, 13.0, 3187
SET, 13.1, 3174
SET, 13.2, 3196
SET, 13.3, 3221
SET, 13.4, 3279
SET, 13.5, 3339
SET, 13.6, 3208
SET, 13.7, 3185
SET, 13.8, 3253
SET, 13.9, 3282
SET, 14.0, 3229
SET, 14.1, 3192
SET, 14.2, 3280
SET, 14.3, 2998
SET, 14.4, 3112
SET, 14.5, 3054
SET, 14.6, 3115
SET, 14.7, 3060
SET, 14.8, 3102
SET, 14.9, 3063
SET, 15.0, 3062
SET, 15.1, 2974
SET, 15.2, 3034
SET, 15.3, 3054
SET, 15.4, 2917
SET, 15.5, 2725
SET, 15.6, 2864
SET, 15.7, 2703
SET, 15.8, 2688
SET, 15.9, 2567
SET, 16.0, 2527
SET, 16.1, 2489
SET, 16.2, 2494
SET, 16.3, 2430
SET, 16.4, 2305
SET, 16.5, 2289
SET, 16.6, 2140
SET, 16.7, 2212
SET, 16.8, 2139
SET, 16.9, 2015
SET, 17.0, 2024
SET, 17.1, 2000
SET, 17.2, 1973
SET, 17.3, 1873
SET, 17.4, 1763
SET, 17.5, 1791
SET, 17.6, 1753
SET, 17.7, 1647
SET, 17.8, 1657
SET, 17.9, 1614
SET, 18.0, 1603
SET, 18.1, 1580
SET, 18.2, 1561
SET, 18.3, 1485
SET, 18.4, 1464
SET, 18.5, 1423
SET, 18.6, 1377
SET, 18.7, 1358
SET, 18.8, 1314
SET, 18.9, 1230
SET, 19.0, 1162
SET, 19.1, 1138
SET, 19.2, 1088
SET, 19.3, 1042
SET, 19.4, 1051
SET, 19.5, 947
SET, 19.6, 972
SET, 19.7, 954
SET, 19.8, 921
SET, 19.9, 852
SET, 20.0, 806
SET, 20.1, 785
SET, 20.2, 711
SET, 20.3, 772
SET, 20.4, 736
SET, 20.5, 718
SET, 20.6, 669
SET, 20.7, 657
SET, 20.8, 633
SET, 20.9, 655
SET, 21.0, 620
SET, 21.1, 608
SET, 21.2, 616
SET, 21.3, 580
SET, 21.4, 546
SET, 21.5, 573
SET, 21.6, 540
SET, 21.7, 525
SET, 21.8, 485
SET, 21.9, 455
SET, 22.0, 449
SET, 22.1, 433
SET, 22.2, 436
SET, 22.3, 397
SET, 22.4, 432
SET, 22.5, 419
SET, 22.6, 399
SET, 22.7, 403
SET, 22.8, 400
SET, 22.9, 405
SET, 23.0, 337
SET, 23.1, 350
