Elapsed Time, AVG Throughput, AVG Queue Size, AVG Waiting Time, AVG Service Time, AVG Response Time, AVG SET Response Time, AVG GET Response Time, AVG MULTI-GET Response Time, #SETS, #GETS, #MULTIGETS, GET MissRatio, MULTI-GET MissRatio, AVG MULTI-GET Size
 5.00, 1229, 78, 62.147349, 6.016627, 68.370936, 0.000000, 68.370936, 0.000000, 0, 6145, 0, 0.00, 0.00, 0
10.00, 1421, 79, 56.698162, 5.564546, 62.330545, 0.000000, 62.330545, 0.000000, 0, 7106, 0, 0.00, 0.00, 0
15.00, 1403, 77, 55.143084, 5.630670, 60.849787, 0.000000, 60.849787, 0.000000, 0, 7015, 0, 0.00, 0.00, 0
20.00, 1390, 77, 56.233465, 5.684475, 62.003103, 0.000000, 62.003103, 0.000000, 0, 6951, 0, 0.00, 0.00, 0
25.00, 1437, 78, 54.990986, 5.472963, 60.552336, 0.000000, 60.552336, 0.000000, 0, 7189, 0, 0.00, 0.00, 0
30.00, 1379, 79, 57.933512, 5.705360, 63.742667, 0.000000, 63.742667, 0.000000, 0, 6899, 0, 0.00, 0.00, 0
35.00, 1417, 79, 56.147617, 5.582481, 61.798861, 0.000000, 61.798861, 0.000000, 0, 7087, 0, 0.00, 0.00, 0
40.00, 1418, 78, 55.323874, 5.544246, 60.962374, 0.000000, 60.962374, 0.000000, 0, 7090, 0, 0.00, 0.00, 0
45.00, 1439, 78, 54.388161, 5.460488, 59.945890, 0.000000, 59.945890, 0.000000, 0, 7199, 0, 0.00, 0.00, 0
50.00, 1439, 79, 55.265755, 5.471274, 60.817774, 0.000000, 60.817774, 0.000000, 0, 7198, 0, 0.00, 0.00, 0
55.00, 1488, 78, 52.368894, 5.303918, 57.753030, 0.000000, 57.753030, 0.000000, 0, 7441, 0, 0.00, 0.00, 0
60.00, 1422, 78, 55.569445, 5.533774, 61.188571, 0.000000, 61.188571, 0.000000, 0, 7114, 0, 0.00, 0.00, 0
65.00, 1499, 79, 53.135788, 5.224225, 58.475990, 0.000000, 58.475990, 0.000000, 0, 7498, 0, 0.00, 0.00, 0
70.00, 1343, 80, 59.646931, 5.866189, 65.600547, 0.000000, 65.600547, 0.000000, 0, 6716, 0, 0.00, 0.00, 0
70.00, 68, 28, 32.326196, 6.180526, 38.552162, 0.000000, 38.552162, 0.000000, 0, 344, 0, 0.00, 0.00, 0
Type, Interval, Responses
GET, 0.1, 0
GET, 0.2, 0
GET, 0.3, 0
GET, 0.4, 0
GET, 0.5, 1
GET, 0.6, 1
GET, 0.7, 2
GET, 0.8, 1
GET, 0.9, 2
GET, 1.0, 1
GET, 1.1, 5
GET, 1.2, 2
GET, 1.3, 0
GET, 1.4, 0
GET, 1.5, 0
GET, 1.6, 2
GET, 1.7, 0
GET, 1.8, 0
GET, 1.9, 0
GET, 2.0, 4
GET, 2.1, 1
GET, 2.2, 3
GET, 2.3, 0
GET, 2.4, 3
GET, 2.5, 4
GET, 2.6, 2
GET, 2.7, 1
GET, 2.8, 6
GET, 2.9, 2
GET, 3.0, 2
GET, 3.1, 1
GET, 3.2, 1
GET, 3.3, 1
GET, 3.4, 1
GET, 3.5, 0
GET, 3.6, 2
GET, 3.7, 0
GET, 3.8, 2
GET, 3.9, 0
GET, 4.0, 0
GET, 4.1, 0
GET, 4.2, 2
GET, 4.3, 0
GET, 4.4, 0
GET, 4.5, 2
GET, 4.6, 1
GET, 4.7, 1
GET, 4.8, 0
GET, 4.9, 0
GET, 5.0, 0
GET, 5.1, 0
GET, 5.2, 0
GET, 5.3, 0
GET, 5.4, 0
GET, 5.5, 0
GET, 5.6, 0
GET, 5.7, 0
GET, 5.8, 0
GET, 5.9, 0
GET, 6.0, 1
GET, 6.1, 1
GET, 6.2, 1
GET, 6.3, 0
GET, 6.4, 0
GET, 6.5, 1
GET, 6.6, 0
GET, 6.7, 1
GET, 6.8, 0
GET, 6.9, 0
GET, 7.0, 2
GET, 7.1, 2
GET, 7.2, 1
GET, 7.3, 3
GET, 7.4, 1
GET, 7.5, 0
GET, 7.6, 0
GET, 7.7, 0
GET, 7.8, 2
GET, 7.9, 3
GET, 8.0, 4
GET, 8.1, 4
GET, 8.2, 6
GET, 8.3, 2
GET, 8.4, 1
GET, 8.5, 5
GET, 8.6, 4
GET, 8.7, 3
GET, 8.8, 0
GET, 8.9, 2
GET, 9.0, 6
GET, 9.1, 5
GET, 9.2, 2
GET, 9.3, 3
GET, 9.4, 3
GET, 9.5, 5
GET, 9.6, 4
GET, 9.7, 1
GET, 9.8, 2
GET, 9.9, 9
GET, 10.0, 4
GET, 10.1, 9
GET, 10.2, 6
GET, 10.3, 4
GET, 10.4, 3
GET, 10.5, 4
GET, 10.6, 5
GET, 10.7, 6
GET, 10.8, 0
GET, 10.9, 3
