ratio,WTS,VCs,run,client,instance,Throughput (ops/s),ResponseTime (ms),Hits (ops/s),25,50,75,90,99
1:6,64,2,2,2,1,410.34,5.01,1231.02,2.60,3.40,7.50,8.70,15.00
1:6,64,2,2,2,2,444.76,4.70,1334.29,2.70,3.40,6.80,8.00,13.00
1:6,64,2,2,3,1,384.75,5.06,1154.20,2.80,3.50,7.50,8.80,14.00
1:6,64,2,2,3,2,409.14,4.88,1227.39,3.00,3.60,6.90,8.10,13.00
1:6,64,2,3,1,1,366.31,5.38,1098.89,2.90,3.80,7.90,9.10,15.00
1:6,64,2,3,1,2,392.65,5.17,1177.90,3.10,3.90,7.20,8.40,14.00
1:6,64,2,3,2,1,405.26,5.00,1215.76,2.60,3.40,7.60,8.80,15.00
1:6,64,2,3,2,2,444.68,4.64,1334.05,2.70,3.40,6.70,7.90,13.00
1:6,64,2,3,3,1,377.04,5.20,1131.09,2.80,3.60,7.70,8.80,15.00
1:6,64,2,3,3,2,406.20,4.90,1218.58,3.00,3.60,6.90,8.20,14.00
1:9,64,2,1,1,1,299.21,7.25,1346.37,4.00,6.70,9.40,12.00,18.00
1:9,64,2,1,1,2,323.66,6.87,1456.41,4.00,6.20,8.60,11.00,18.00
1:9,64,2,1,2,1,328.01,6.69,1475.97,3.50,5.80,8.80,11.00,18.00
1:9,64,2,1,2,2,363.77,5.96,1636.80,3.40,4.80,7.80,10.00,16.00
1:9,64,2,1,3,1,308.77,6.97,1389.40,3.80,6.20,9.10,12.00,19.00
1:9,64,2,1,3,2,336.73,6.52,1515.20,3.80,5.60,8.30,11.00,17.00
1:9,64,2,2,1,1,300.31,7.52,1351.33,4.10,7.40,9.40,12.00,19.00
1:9,64,2,2,1,2,324.69,6.91,1461.00,4.10,6.30,8.70,11.00,18.00
1:9,64,2,2,2,1,328.88,6.40,1479.96,3.30,5.30,8.60,11.00,18.00
1:9,64,2,2,2,2,355.22,6.15,1598.48,3.50,5.00,8.00,10.00,17.00
1:9,64,2,2,3,1,311.50,6.91,1401.74,3.70,6.10,9.00,12.00,18.00
1:9,64,2,2,3,2,341.31,6.48,1535.74,3.80,5.40,8.30,11.00,17.00
1:9,64,2,3,1,1,299.44,7.24,1347.42,4.10,6.40,9.40,12.00,19.00
1:9,64,2,3,1,2,318.99,7.07,1435.41,4.20,6.50,8.80,12.00,18.00
1:9,64,2,3,2,1,331.22,6.36,1490.51,3.40,5.00,8.60,11.00,18.00
1:9,64,2,3,2,2,358.53,6.10,1613.26,3.50,5.00,8.00,10.00,17.00
1:9,64,2,3,3,1,316.38,6.71,1423.72,3.80,5.70,8.90,11.00,18.00
1:9,64,2,3,3,2,336.84,6.53,1515.77,3.90,5.50,8.40,11.00,17.00
