Elapsed Time, AVG Throughput, AVG Queue Size, AVG Waiting Time, AVG Service Time, AVG Response Time, AVG SET Response Time, AVG GET Response Time, AVG MULTI-GET Response Time, #SETS, #GETS, #MULTIGETS, GET MissRatio, MULTI-GET MissRatio, AVG MULTI-GET Size
 5.00, 3963, 72, 18.412301, 1.736678, 20.219600, 20.219600, 0.000000, 0.000000, 19819, 0, 0, 0.00, 0.00, 0
10.00, 4294, 72, 17.348375, 1.707679, 19.111744, 19.111744, 0.000000, 0.000000, 21472, 0, 0, 0.00, 0.00, 0
15.00, 4234, 72, 17.611005, 1.739358, 19.400791, 19.400791, 0.000000, 0.000000, 21170, 0, 0, 0.00, 0.00, 0
20.00, 4256, 72, 17.496972, 1.740703, 19.291428, 19.291428, 0.000000, 0.000000, 21280, 0, 0, 0.00, 0.00, 0
25.00, 4397, 72, 17.020633, 1.679592, 18.752995, 18.752995, 0.000000, 0.000000, 21987, 0, 0, 0.00, 0.00, 0
30.00, 4298, 72, 17.364445, 1.719805, 19.131298, 19.131298, 0.000000, 0.000000, 21490, 0, 0, 0.00, 0.00, 0
35.00, 3889, 75, 19.744720, 1.916446, 21.713446, 21.713446, 0.000000, 0.000000, 19449, 0, 0, 0.00, 0.00, 0
40.00, 3877, 74, 19.638394, 1.913886, 21.605149, 21.605149, 0.000000, 0.000000, 19386, 0, 0, 0.00, 0.00, 0
45.00, 4309, 73, 17.430575, 1.714403, 19.191179, 19.191179, 0.000000, 0.000000, 21545, 0, 0, 0.00, 0.00, 0
50.00, 4697, 70, 15.535368, 1.555172, 17.147689, 17.147689, 0.000000, 0.000000, 23486, 0, 0, 0.00, 0.00, 0
55.00, 4371, 72, 16.950543, 1.675289, 18.677202, 18.677202, 0.000000, 0.000000, 21855, 0, 0, 0.00, 0.00, 0
60.00, 4199, 72, 17.760573, 1.760589, 19.577013, 19.577013, 0.000000, 0.000000, 20996, 0, 0, 0.00, 0.00, 0
65.00, 4225, 73, 17.809864, 1.747764, 19.609587, 19.609587, 0.000000, 0.000000, 21129, 0, 0, 0.00, 0.00, 0
70.00, 4312, 72, 17.337849, 1.708066, 19.097627, 19.097627, 0.000000, 0.000000, 21564, 0, 0, 0.00, 0.00, 0
70.00, 110, 29, 7.413357, 1.313452, 8.758462, 8.758462, 0.000000, 0.000000, 550, 0, 0, 0.00, 0.00, 0
Interval, Responses
0.1, 0
0.2, 0
0.3, 0
0.4, 0
0.5, 0
0.6, 1
0.7, 2
0.8, 2
0.9, 7
1.0, 12
1.1, 16
1.2, 2
1.3, 6
1.4, 3
1.5, 1
1.6, 7
1.7, 6
1.8, 10
1.9, 10
2.0, 3
2.1, 2
2.2, 5
2.3, 6
2.4, 13
2.5, 8
2.6, 14
2.7, 10
2.8, 6
2.9, 10
3.0, 19
3.1, 14
3.2, 27
3.3, 8
3.4, 14
3.5, 12
3.6, 30
3.7, 17
3.8, 15
3.9, 31
4.0, 22
4.1, 31
4.2, 28
4.3, 18
4.4, 29
4.5, 40
4.6, 69
4.7, 58
4.8, 70
4.9, 77
5.0, 54
5.1, 87
5.2, 69
5.3, 60
5.4, 62
5.5, 69
5.6, 102
5.7, 108
5.8, 95
5.9, 91
6.0, 96
6.1, 97
6.2, 114
6.3, 113
6.4, 129
6.5, 133
6.6, 134
6.7, 101
6.8, 126
6.9, 142
7.0, 128
7.1, 164
7.2, 182
7.3, 152
7.4, 113
7.5, 127
7.6, 138
7.7, 160
7.8, 177
7.9, 160
8.0, 176
8.1, 175
8.2, 153
8.3, 149
8.4, 170
8.5, 189
8.6, 196
8.7, 226
8.8, 211
8.9, 199
9.0, 190
9.1, 176
9.2, 205
9.3, 239
9.4, 246
9.5, 287
9.6, 244
9.7, 271
9.8, 282
9.9, 314
10.0, 378
10.1, 374
10.2, 400
10.3, 422
10.4, 466
10.5, 519
10.6, 544
10.7, 575
10.8, 610
10.9, 669
11.0, 681
11.1, 755
11.2, 794
11.3, 807
11.4, 905
11.5, 864
11.6, 921
11.7, 1029
11.8, 1070
11.9, 1067
12.0, 1162
12.1, 1221
12.2, 1104
12.3, 1178
12.4, 1192
12.5, 1240
12.6, 1204
12.7, 1428
12.8, 1326
12.9, 1286
13.0, 1237
13.1, 1411
13.2, 1333
13.3, 1459
13.4, 1373
13.5, 1366
13.6, 1362
13.7, 1407
13.8, 1518
13.9, 1546
14.0, 1395
14.1, 1415
14.2, 1398
14.3, 1413
14.4, 1454
14.5, 1473
14.6, 1503
14.7, 1492
14.8, 1414
14.9, 1553
15.0, 1487
15.1, 1413
15.2, 1495
15.3, 1476
15.4, 1555
15.5, 1485
15.6, 1488
15.7, 1564
15.8, 1713
15.9, 1610
16.0, 1614
16.1, 1586
16.2, 1623
16.3, 1673
16.4, 1862
