2018-10-23 19:08:25 (13703357995865) INFO  - START: Middleware listening on address 10.0.0.7:8888.
2018-10-23 19:09:49 (13787655820698) STATS -  5.00, 2321, 1, 0.498920, 1.370204, 1.988960, 0.000000, 1.988960, 0.000000, 0, 11605, 0, 1.00, 0.00, 0
2018-10-23 19:09:49 (13787892198910) STATS - 10.00, 2403, 1, 0.433311, 1.464852, 1.971170, 0.000000, 1.971170, 0.000000, 0, 12015, 0, 1.00, 0.00, 0
2018-10-23 19:09:49 (13787961479373) STATS - 15.00, 2739, 1, 0.236569, 1.078123, 1.381886, 0.000000, 1.381886, 0.000000, 0, 13696, 0, 1.00, 0.00, 0
2018-10-23 19:09:50 (13788028443138) STATS - 20.00, 2559, 1, 0.326976, 1.302475, 1.691817, 0.000000, 1.691817, 0.000000, 0, 12798, 0, 1.00, 0.00, 0
2018-10-23 19:09:50 (13788088711016) STATS - 25.00, 2690, 1, 0.252428, 1.135978, 1.449705, 0.000000, 1.449705, 0.000000, 0, 13454, 0, 1.00, 0.00, 0
2018-10-23 19:09:50 (13788141689383) STATS - 30.00, 2714, 1, 0.258922, 1.063369, 1.379117, 0.000000, 1.379117, 0.000000, 0, 13573, 0, 1.00, 0.00, 0
2018-10-23 19:09:50 (13788194513942) STATS - 35.00, 2729, 1, 0.257951, 1.024732, 1.350041, 0.000000, 1.350041, 0.000000, 0, 13646, 0, 1.00, 0.00, 0
2018-10-23 19:09:50 (13788235787508) STATS - 40.00, 2762, 1, 0.239596, 1.087258, 1.393578, 0.000000, 1.393578, 0.000000, 0, 13811, 0, 1.00, 0.00, 0
2018-10-23 19:09:50 (13788283150334) STATS - 45.00, 2410, 1, 0.444681, 1.433674, 1.928855, 0.000000, 1.928855, 0.000000, 0, 12051, 0, 1.00, 0.00, 0
2018-10-23 19:09:50 (13788322757729) STATS - 50.00, 2709, 1, 0.240434, 1.081905, 1.383002, 0.000000, 1.383002, 0.000000, 0, 13545, 0, 1.00, 0.00, 0
2018-10-23 19:09:50 (13788360119827) STATS - 55.00, 2768, 1, 0.236177, 1.039719, 1.342228, 0.000000, 1.342228, 0.000000, 0, 13843, 0, 1.00, 0.00, 0
2018-10-23 19:09:50 (13788382192071) STATS - 60.00, 2334, 1, 0.495287, 1.564774, 2.118655, 0.000000, 2.118655, 0.000000, 0, 11673, 0, 1.00, 0.00, 0
2018-10-23 19:09:50 (13788411572328) STATS - 65.00, 2841, 1, 0.260860, 0.993538, 1.310093, 0.000000, 1.310093, 0.000000, 0, 14209, 0, 1.00, 0.00, 0
2018-10-23 19:09:50 (13788438310172) STATS - 70.00, 2687, 1, 0.243071, 1.045321, 1.361820, 0.000000, 1.361820, 0.000000, 0, 13437, 0, 1.00, 0.00, 0
2018-10-23 19:09:50 (13788439669230) STATS - 70.00, 22, 0, 0.176553, 1.560081, 1.843800, 0.000000, 1.843800, 0.000000, 0, 114, 0, 1.00, 0.00, 0
2018-10-23 19:09:50 (13788713947663) STATS - Interval, Responses
2018-10-23 19:09:50 (13788714299578) STATS - 0.1, 0
2018-10-23 19:09:50 (13788714468085) STATS - 0.2, 0
2018-10-23 19:09:50 (13788714666294) STATS - 0.3, 0
2018-10-23 19:09:50 (13788714820400) STATS - 0.4, 283
2018-10-23 19:09:50 (13788714991908) STATS - 0.5, 6194
2018-10-23 19:09:50 (13788715295321) STATS - 0.6, 16938
2018-10-23 19:09:50 (13788715456728) STATS - 0.7, 24536
2018-10-23 19:09:50 (13788715635435) STATS - 0.8, 26820
2018-10-23 19:09:50 (13788722581432) STATS - 0.9, 24068
2018-10-23 19:09:50 (13788722835043) STATS - 1.0, 16585
2018-10-23 19:09:50 (13788722991150) STATS - 1.1, 10908
2018-10-23 19:09:50 (13788723192259) STATS - 1.2, 8034
2018-10-23 19:09:50 (13788723388367) STATS - 1.3, 6784
2018-10-23 19:09:50 (13788723553674) STATS - 1.4, 6124
2018-10-23 19:09:50 (13788723732282) STATS - 1.5, 5056
2018-10-23 19:09:50 (13788723891289) STATS - 1.6, 4061
2018-10-23 19:09:50 (13788724054996) STATS - 1.7, 3114
2018-10-23 19:09:50 (13788724201702) STATS - 1.8, 2375
2018-10-23 19:09:50 (13788724345908) STATS - 1.9, 1710
2018-10-23 19:09:50 (13788724596319) STATS - 2.0, 1339
2018-10-23 19:09:50 (13788724773926) STATS - 2.1, 1070
2018-10-23 19:09:50 (13788724918932) STATS - 2.2, 805
2018-10-23 19:09:50 (13788725082439) STATS - 2.3, 633
2018-10-23 19:09:50 (13788725306149) STATS - 2.4, 541
2018-10-23 19:09:50 (13788725463356) STATS - 2.5, 439
2018-10-23 19:09:50 (13788732661764) STATS - 2.6, 378
2018-10-23 19:09:50 (13788732869173) STATS - 2.7, 367
2018-10-23 19:09:50 (13788733016479) STATS - 2.8, 313
2018-10-23 19:09:50 (13788733173586) STATS - 2.9, 252
2018-10-23 19:09:50 (13788733344993) STATS - 3.0, 204
2018-10-23 19:09:50 (13788733480199) STATS - 3.1, 170
2018-10-23 19:09:50 (13788733643806) STATS - 3.2, 171
2018-10-23 19:09:50 (13788733795212) STATS - 3.3, 195
2018-10-23 19:09:50 (13788733989120) STATS - 3.4, 145
2018-10-23 19:09:50 (13788734177229) STATS - 3.5, 120
2018-10-23 19:09:50 (13788734326935) STATS - 3.6, 103
2018-10-23 19:09:50 (13788734484142) STATS - 3.7, 111
2018-10-23 19:09:50 (13788734938261) STATS - 3.8, 102
2018-10-23 19:09:50 (13788735088568) STATS - 3.9, 106
2018-10-23 19:09:50 (13788735236774) STATS - 4.0, 94
2018-10-23 19:09:50 (13788735391780) STATS - 4.1, 78
2018-10-23 19:09:50 (13788735524586) STATS - 4.2, 88
2018-10-23 19:09:50 (13788742618390) STATS - 4.3, 76
2018-10-23 19:09:50 (13788742757696) STATS - 4.4, 81
2018-10-23 19:09:50 (13788743006906) STATS - 4.5, 77
2018-10-23 19:09:50 (13788743170213) STATS - 4.6, 82
2018-10-23 19:09:50 (13788743322520) STATS - 4.7, 75
2018-10-23 19:09:50 (13788743487127) STATS - 4.8, 73
2018-10-23 19:09:50 (13788743654434) STATS - 4.9, 59
2018-10-23 19:09:50 (13788743776939) STATS - 5.0, 49
2018-10-23 19:09:50 (13788743899444) STATS - 5.1, 74
2018-10-23 19:09:50 (13788744092953) STATS - 5.2, 72
2018-10-23 19:09:50 (13788744217858) STATS - 5.3, 71
2018-10-23 19:09:50 (13788744484169) STATS - 5.4, 50
2018-10-23 19:09:50 (13788744606475) STATS - 5.5, 65
2018-10-23 19:09:50 (13788744754681) STATS - 5.6, 77
2018-10-23 19:09:50 (13788744887587) STATS - 5.7, 58
2018-10-23 19:09:50 (13788745011492) STATS - 5.8, 53
2018-10-23 19:09:50 (13788745144598) STATS - 5.9, 60
2018-10-23 19:09:50 (13788745272903) STATS - 6.0, 92
2018-10-23 19:09:50 (13788752237201) STATS - 6.1, 84
2018-10-23 19:09:50 (13788752405408) STATS - 6.2, 85
2018-10-23 19:09:50 (13788752611817) STATS - 6.3, 112
2018-10-23 19:09:50 (13788752739623) STATS - 6.4, 149
2018-10-23 19:09:50 (13788752880129) STATS - 6.5, 166
2018-10-23 19:09:50 (13788753020535) STATS - 6.6, 211
2018-10-23 19:09:50 (13788753138940) STATS - 6.7, 297
2018-10-23 19:09:50 (13788753253345) STATS - 6.8, 372
2018-10-23 19:09:50 (13788753432852) STATS - 6.9, 466
2018-10-23 19:09:50 (13788754133182) STATS - 7.0, 584
2018-10-23 19:09:50 (13788754281789) STATS - 7.1, 817
2018-10-23 19:09:50 (13788754400894) STATS - 7.2, 927
2018-10-23 19:09:50 (13788754517699) STATS - 7.3, 975
2018-10-23 19:09:50 (13788754681006) STATS - 7.4, 813
2018-10-23 19:09:50 (13788754800511) STATS - 7.5, 754
2018-10-23 19:09:50 (13788754923716) STATS - 7.6, 578
2018-10-23 19:09:50 (13788755048121) STATS - 7.7, 415
2018-10-23 19:09:50 (13788755170027) STATS - 7.8, 362
2018-10-23 19:09:50 (13788755277331) STATS - 7.9, 273
2018-10-23 19:09:50 (13788755381836) STATS - 8.0, 216
2018-10-23 19:09:50 (13788755491140) STATS - 8.1, 154
2018-10-23 19:09:50 (13788762257130) STATS - 8.2, 109
2018-10-23 19:09:50 (13788762388735) STATS - 8.3, 104
2018-10-23 19:09:50 (13788762499340) STATS - 8.4, 96
2018-10-23 19:09:50 (13788762612945) STATS - 8.5, 76
2018-10-23 19:09:50 (13788762781752) STATS - 8.6, 45
2018-10-23 19:09:50 (13788762898557) STATS - 8.7, 41
2018-10-23 19:09:50 (13788763010762) STATS - 8.8, 41
2018-10-23 19:09:50 (13788763131767) STATS - 8.9, 53
2018-10-23 19:09:50 (13788763238672) STATS - 9.0, 38
2018-10-23 19:09:50 (13788763347376) STATS - 9.1, 30
2018-10-23 19:09:50 (13788763459781) STATS - 9.2, 28
2018-10-23 19:09:50 (13788763581886) STATS - 9.3, 33
2018-10-23 19:09:50 (13788763704092) STATS - 9.4, 42
2018-10-23 19:09:50 (13788763818197) STATS - 9.5, 65
2018-10-23 19:09:50 (13788763931301) STATS - 9.6, 52
2018-10-23 19:09:50 (13788764059607) STATS - 9.7, 61
2018-10-23 19:09:50 (13788764201713) STATS - 9.8, 91
2018-10-23 19:09:50 (13788764315618) STATS - 9.9, 83
2018-10-23 19:09:50 (13788764439223) STATS - 10.0, 84
2018-10-23 19:09:50 (13788764552728) STATS - 10.1, 28
2018-10-23 19:09:50 (13788764662533) STATS - 10.2, 15
2018-10-23 19:09:50 (13788764794738) STATS - 10.3, 10
2018-10-23 19:09:50 (13788764926244) STATS - 10.4, 21
2018-10-23 19:09:50 (13788772015447) STATS - 10.5, 8
2018-10-23 19:09:50 (13788772229856) STATS - 10.6, 12
2018-10-23 19:09:50 (13788772366762) STATS - 10.7, 11
2018-10-23 19:09:50 (13788772484167) STATS - 10.8, 19
2018-10-23 19:09:50 (13788772629473) STATS - 10.9, 11
2018-10-23 19:09:50 (13788772844683) STATS - 11.0, 10
2018-10-23 19:09:50 (13788773034991) STATS - 11.1, 17
2018-10-23 19:09:50 (13788773180097) STATS - 11.2, 11
2018-10-23 19:09:50 (13788773310003) STATS - 11.3, 12
2018-10-23 19:09:50 (13788773418307) STATS - 11.4, 7
2018-10-23 19:09:50 (13788773525812) STATS - 11.5, 6
2018-10-23 19:09:50 (13788773633516) STATS - 11.6, 7
2018-10-23 19:09:50 (13788773743421) STATS - 11.7, 13
2018-10-23 19:09:50 (13788773870127) STATS - 11.8, 3
2018-10-23 19:09:50 (13788773979531) STATS - 11.9, 2
2018-10-23 19:09:50 (13788774087436) STATS - 12.0, 9
2018-10-23 19:09:50 (13788774193340) STATS - 12.1, 5
2018-10-23 19:09:50 (13788774298445) STATS - 12.2, 4
2018-10-23 19:09:50 (13788774401949) STATS - 12.3, 1
2018-10-23 19:09:50 (13788774508654) STATS - 12.4, 2
2018-10-23 19:09:50 (13788774634559) STATS - 12.5, 5
2018-10-23 19:09:50 (13788774745764) STATS - 12.6, 10
2018-10-23 19:09:50 (13788781814966) STATS - 12.7, 10
2018-10-23 19:09:50 (13788782017375) STATS - 12.8, 4
2018-10-23 19:09:50 (13788782140980) STATS - 12.9, 6
2018-10-23 19:09:50 (13788782321688) STATS - 13.0, 3
2018-10-23 19:09:50 (13788782455494) STATS - 13.1, 5
2018-10-23 19:09:50 (13788782561798) STATS - 13.2, 9
2018-10-23 19:09:50 (13788782665703) STATS - 13.3, 7
2018-10-23 19:09:50 (13788782769207) STATS - 13.4, 2
2018-10-23 19:09:50 (13788782873112) STATS - 13.5, 7
2018-10-23 19:09:50 (13788782985416) STATS - 13.6, 9
2018-10-23 19:09:50 (13788783089721) STATS - 13.7, 4
2018-10-23 19:09:50 (13788783200926) STATS - 13.8, 7
2018-10-23 19:09:50 (13788783298630) STATS - 13.9, 10
2018-10-23 19:09:50 (13788783419735) STATS - 14.0, 11
2018-10-23 19:09:50 (13788783527040) STATS - 14.1, 9
2018-10-23 19:09:50 (13788783630344) STATS - 14.2, 6
2018-10-23 19:09:50 (13788783732848) STATS - 14.3, 7
2018-10-23 19:09:50 (13788783836153) STATS - 14.4, 5
2018-10-23 19:09:50 (13788783970759) STATS - 14.5, 4
2018-10-23 19:09:50 (13788784095864) STATS - 14.6, 1
2018-10-23 19:09:50 (13788784202869) STATS - 14.7, 1
2018-10-23 19:09:50 (13788784307073) STATS - 14.8, 2
2018-10-23 19:09:50 (13788784459080) STATS - 14.9, 5
2018-10-23 19:09:50 (13788784560784) STATS - 15.0, 6
2018-10-23 19:09:50 (13788784666388) STATS - 15.1, 5
2018-10-23 19:09:50 (13788792410020) STATS - 15.2, 1
2018-10-23 19:09:50 (13788792619329) STATS - 15.3, 1
2018-10-23 19:09:50 (13788792805937) STATS - 15.4, 1
2018-10-23 19:09:50 (13788793159552) STATS - 15.5, 1
2018-10-23 19:09:50 (13788793295158) STATS - 15.6, 1
2018-10-23 19:09:50 (13788793427563) STATS - 15.7, 1
2018-10-23 19:09:50 (13788793548768) STATS - 15.8, 3
2018-10-23 19:09:50 (13788793668473) STATS - 15.9, 11
2018-10-23 19:09:50 (13788793790679) STATS - 16.0, 0
2018-10-23 19:09:50 (13788793946785) STATS - 16.1, 0
2018-10-23 19:09:50 (13788794506109) STATS - 16.2, 1
2018-10-23 19:09:50 (13788794720519) STATS - 16.3, 1
2018-10-23 19:09:50 (13788794918527) STATS - 16.4, 0
2018-10-23 19:09:50 (13788795052133) STATS - 16.5, 1
2018-10-23 19:09:50 (13788801780921) STATS - 16.6, 0
2018-10-23 19:09:50 (13788801911826) STATS - 16.7, 0
2018-10-23 19:09:50 (13788802046032) STATS - 16.8, 1
2018-10-23 19:09:50 (13788802165837) STATS - 16.9, 0
2018-10-23 19:09:50 (13788802282242) STATS - 17.0, 0
2018-10-23 19:09:50 (13788802396147) STATS - 17.1, 1
2018-10-23 19:09:50 (13788802513852) STATS - 17.2, 0
2018-10-23 19:09:50 (13788802642357) STATS - 17.3, 1
