ratio,WTS,VCs,run,client,instance,Throughput (ops/s),ResponseTime (ms)
0:1,32,1,1,2,1,700.84,2.8464000000000005
0:1,32,1,1,3,1,722.94,2.7576000000000005
0:1,32,1,2,1,1,710.12,2.8127999999999997
0:1,32,1,2,2,1,755.44,2.6448
0:1,32,1,2,3,1,743.24,2.6873999999999993
0:1,32,1,3,1,1,717.16,2.7823999999999995
0:1,32,1,3,2,1,790.38,2.5266
0:1,32,1,3,3,1,777.9,2.5643999999999996
0:1,32,4,1,1,1,951.42,8.8848
0:1,32,4,1,2,1,952.22,8.5056
0:1,32,4,1,3,1,984.54,8.182200000000002
0:1,32,4,2,1,1,971.2,8.232999999999999
0:1,32,4,2,2,1,985.7,8.168400000000002
0:1,32,4,2,3,1,979.8,8.157399999999999
0:1,32,4,3,1,1,957.46,8.345999999999998
0:1,32,4,3,2,1,954.76,8.407800000000002
0:1,32,4,3,3,1,1014.6,7.878600000000001
0:1,32,8,1,1,1,985.3,16.2286
0:1,32,8,1,2,1,966.62,16.6288
0:1,32,8,1,3,1,997.7,16.02980000000001
0:1,32,8,2,1,1,986.52,16.20800000000001
0:1,32,8,2,2,1,960.76,16.695200000000003
0:1,32,8,2,3,1,996.12,16.0552
0:1,32,8,3,1,1,972.84,16.425
0:1,32,8,3,2,1,983.06,16.254199999999997
0:1,32,8,3,3,1,980.58,16.295399999999994
0:1,32,16,1,1,1,978.68,32.672
0:1,32,16,1,2,1,982.06,32.5934
0:1,32,16,1,3,1,991.52,32.259
0:1,32,16,2,1,1,976.36,32.7418
0:1,32,16,2,2,1,982.26,32.5448
0:1,32,16,2,3,1,985.86,32.433
0:1,32,16,3,1,1,974.74,32.797799999999995
0:1,32,16,3,2,1,985.74,32.428999999999995
0:1,32,16,3,3,1,984.4,32.471000000000004
0:1,32,24,1,1,1,998.46,48.093799999999995
0:1,32,24,1,2,1,953.54,50.744800000000005
0:1,32,24,1,3,1,997.5,48.15899999999998
0:1,32,24,2,1,1,971.24,49.45259999999999
0:1,32,24,2,2,1,967.08,49.726600000000005
0:1,32,24,2,3,1,966.78,49.916000000000004
