ratio,WTS,VCs,Throughput (ops/s),ResponseTime (ms),Jobs,ServiceTime (ms),WaitingTime (ms),QueueSize,ServiceRate (ops/s),Rho,En_q,En,Ew,Er
1:0,8,64,8062.900000000001,45.173333333333325,558749.3333333334,1.795,43.291666666666664,347.35999999999996,8158.9300,0.9882300742867018,82.97407337255306,83.96230344683977,10.290847384012334,10.413412475268174
1:0,16,64,9506.023333333333,37.645,661889.6666666666,3.1633333333333336,34.38666666666666,321.46,9540.1500,0.9964228375165309,277.5547590339367,278.55118187145325,29.197778008883848,29.302598163703216
1:0,32,64,11280.616666666667,31.058333333333337,784242.6666666666,5.371666666666667,25.560000000000002,282.25666666666666,11361.1500,0.9929115157063032,139.08097093462482,140.0738824503311,12.329199284432573,12.417218543046355
1:0,64,64,12856.253333333332,25.871666666666666,893432.6666666666,9.405,16.233333333333334,203.46333333333337,12932.5300,0.994101953239879,167.5535535115147,168.5476554647546,13.032844730671773,13.110169121181594
