Elapsed Time, AVG Throughput, AVG Queue Size, AVG Waiting Time, AVG Service Time, AVG Response Time, AVG SET Response Time, AVG GET Response Time, AVG MULTI-GET Response Time, #SETS, #GETS, #MULTIGETS, GET MissRatio, MULTI-GET MissRatio, AVG MULTI-GET Size
 5.00, 6336, 6, 1.012110, 2.371994, 3.590143, 3.590143, 0.000000, 0.000000, 31682, 0, 0, 0.00, 0.00, 0
10.00, 7231, 5, 0.752648, 2.264368, 3.184630, 3.184630, 0.000000, 0.000000, 36157, 0, 0, 0.00, 0.00, 0
15.00, 7445, 5, 0.635570, 2.132677, 2.955996, 2.955996, 0.000000, 0.000000, 37226, 0, 0, 0.00, 0.00, 0
20.00, 7337, 5, 0.731083, 2.325643, 3.171334, 3.171334, 0.000000, 0.000000, 36688, 0, 0, 0.00, 0.00, 0
25.00, 7358, 5, 0.695359, 2.248222, 3.084189, 3.084189, 0.000000, 0.000000, 36791, 0, 0, 0.00, 0.00, 0
30.00, 7241, 5, 0.657134, 2.483252, 3.257527, 3.257527, 0.000000, 0.000000, 36206, 0, 0, 0.00, 0.00, 0
35.00, 7210, 5, 0.729157, 2.403404, 3.242317, 3.242317, 0.000000, 0.000000, 36054, 0, 0, 0.00, 0.00, 0
40.00, 7080, 6, 0.855576, 2.271411, 3.225985, 3.225985, 0.000000, 0.000000, 35401, 0, 0, 0.00, 0.00, 0
45.00, 7308, 5, 0.714133, 2.351745, 3.206719, 3.206719, 0.000000, 0.000000, 36541, 0, 0, 0.00, 0.00, 0
50.00, 7356, 4, 0.674163, 2.342725, 3.163389, 3.163389, 0.000000, 0.000000, 36782, 0, 0, 0.00, 0.00, 0
55.00, 7454, 5, 0.768322, 2.200076, 3.112577, 3.112577, 0.000000, 0.000000, 37271, 0, 0, 0.00, 0.00, 0
60.00, 7443, 5, 0.630209, 2.301322, 3.089234, 3.089234, 0.000000, 0.000000, 37219, 0, 0, 0.00, 0.00, 0
65.00, 7323, 5, 0.635203, 2.288695, 3.041375, 3.041375, 0.000000, 0.000000, 36615, 0, 0, 0.00, 0.00, 0
70.00, 7249, 5, 0.752332, 2.349714, 3.250805, 3.250805, 0.000000, 0.000000, 36246, 0, 0, 0.00, 0.00, 0
70.00, 265, 3, 0.525448, 1.536605, 2.159831, 2.159831, 0.000000, 0.000000, 1326, 0, 0, 0.00, 0.00, 0
Interval, Responses
0.1, 0
0.2, 0
0.3, 8
0.4, 476
0.5, 3043
0.6, 7190
0.7, 11145
0.8, 13121
0.9, 14503
1.0, 15711
1.1, 16413
1.2, 16997
1.3, 17158
1.4, 16958
1.5, 16775
1.6, 16316
1.7, 15482
1.8, 14099
1.9, 13318
2.0, 12509
2.1, 11669
2.2, 10678
2.3, 10089
2.4, 9063
2.5, 8311
2.6, 8012
2.7, 7558
2.8, 7058
2.9, 6512
3.0, 6231
3.1, 6186
3.2, 5975
3.3, 5858
3.4, 5775
3.5, 5736
3.6, 5393
3.7, 5445
3.8, 5251
3.9, 5331
4.0, 5116
4.1, 4773
4.2, 4583
4.3, 4458
4.4, 4565
4.5, 4306
4.6, 4161
4.7, 4160
4.8, 3884
4.9, 3792
5.0, 3880
5.1, 3699
5.2, 3578
5.3, 3454
5.4, 3420
5.5, 3344
5.6, 3282
5.7, 3291
5.8, 3122
5.9, 3056
6.0, 3015
6.1, 2980
6.2, 3033
6.3, 2935
6.4, 3025
6.5, 2795
6.6, 2828
6.7, 2640
6.8, 2611
6.9, 2510
7.0, 2569
7.1, 2583
7.2, 2477
7.3, 2475
7.4, 2416
7.5, 2382
7.6, 2314
7.7, 2326
7.8, 2047
7.9, 2013
8.0, 1845
8.1, 1562
8.2, 1329
8.3, 1277
8.4, 1113
8.5, 934
8.6, 817
8.7, 785
8.8, 644
8.9, 604
9.0, 587
9.1, 556
9.2, 569
9.3, 595
9.4, 561
9.5, 536
9.6, 448
9.7, 406
9.8, 338
9.9, 274
10.0, 219
10.1, 207
10.2, 182
10.3, 160
10.4, 177
10.5, 155
10.6, 127
10.7, 117
10.8, 90
10.9, 124
11.0, 94
11.1, 94
11.2, 83
11.3, 79
11.4, 61
11.5, 91
11.6, 54
11.7, 78
11.8, 70
11.9, 61
12.0, 72
12.1, 58
12.2, 95
12.3, 71
12.4, 77
12.5, 76
12.6, 66
12.7, 63
12.8, 53
12.9, 53
13.0, 55
13.1, 47
13.2, 43
13.3, 44
13.4, 38
13.5, 37
13.6, 27
13.7, 36
13.8, 30
13.9, 33
14.0, 21
14.1, 22
14.2, 37
14.3, 19
14.4, 29
14.5, 24
14.6, 20
14.7, 16
14.8, 21
14.9, 29
15.0, 36
15.1, 40
15.2, 26
15.3, 23
15.4, 25
15.5, 23
15.6, 14
15.7, 8
15.8, 14
15.9, 15
