2018-11-12 16:00:36 (2903756941586) INFO  - START: Middleware listening on address 10.0.0.11:8888.
2018-11-12 16:02:02 (2989795562625) STATS - 5.2, 4537
2018-11-12 16:02:02 (2989795701329) STATS - 5.3, 4549
2018-11-12 16:02:02 (2989795821532) STATS - 5.4, 4387
2018-11-12 16:02:02 (2989795941135) STATS - 5.5, 4392
2018-11-12 16:02:02 (2989796078739) STATS - 5.6, 4477
2018-11-12 16:02:02 (2989802238608) STATS - 5.7, 4332
2018-11-12 16:02:02 (2989802457414) STATS - 5.8, 4383
2018-11-12 16:02:02 (2989802588017) STATS - 5.9, 4344
2018-11-12 16:02:02 (2989802732821) STATS - 6.0, 4482
2018-11-12 16:02:02 (2989802869625) STATS - 6.1, 4596
2018-11-12 16:02:02 (2989803028929) STATS - 6.2, 4631
2018-11-12 16:02:02 (2989803148333) STATS - 6.3, 4645
2018-11-12 16:02:02 (2989803286837) STATS - 6.4, 4793
2018-11-12 16:02:02 (2989803502342) STATS - 6.5, 4497
2018-11-12 16:02:02 (2989803632846) STATS - 6.6, 4746
2018-11-12 16:02:02 (2989803753049) STATS - 6.7, 5116
2018-11-12 16:02:02 (2989803870353) STATS - 6.8, 4938
2018-11-12 16:02:02 (2989803992556) STATS - 6.9, 5014
2018-11-12 16:02:02 (2989804176661) STATS - 7.0, 5107
2018-11-12 16:02:02 (2989804297864) STATS - 7.1, 5286
2018-11-12 16:02:02 (2989804417868) STATS - 7.2, 5562
2018-11-12 16:02:02 (2989804536671) STATS - 7.3, 5367
2018-11-12 16:02:02 (2989804697875) STATS - 7.4, 5423
2018-11-12 16:02:02 (2989804819579) STATS - 7.5, 5677
2018-11-12 16:02:02 (2989811305956) STATS - 7.6, 5576
2018-11-12 16:02:02 (2989811662666) STATS - 7.7, 5630
2018-11-12 16:02:02 (2989811783869) STATS - 7.8, 5392
2018-11-12 16:02:02 (2989811899873) STATS - 7.9, 5218
2018-11-12 16:02:02 (2989812025976) STATS - 8.0, 5113
2018-11-12 16:02:02 (2989812175580) STATS - 8.1, 4839
2018-11-12 16:02:02 (2989812295283) STATS - 8.2, 4624
2018-11-12 16:02:02 (2989812408787) STATS - 8.3, 4147
2018-11-12 16:02:02 (2989812532990) STATS - 8.4, 3877
2018-11-12 16:02:02 (2989812645693) STATS - 8.5, 3571
2018-11-12 16:02:02 (2989812768096) STATS - 8.6, 3074
2018-11-12 16:02:02 (2989812957402) STATS - 8.7, 2784
2018-11-12 16:02:02 (2989813074805) STATS - 8.8, 2495
2018-11-12 16:02:02 (2989813222809) STATS - 8.9, 2131
2018-11-12 16:02:02 (2989813337712) STATS - 9.0, 1850
2018-11-12 16:02:02 (2989813451715) STATS - 9.1, 1757
2018-11-12 16:02:02 (2989813589919) STATS - 9.2, 1490
2018-11-12 16:02:02 (2989813709822) STATS - 9.3, 1309
2018-11-12 16:02:02 (2989813829026) STATS - 9.4, 1311
2018-11-12 16:02:02 (2989820414006) STATS - 9.5, 1208
2018-11-12 16:02:02 (2989820651313) STATS - 9.6, 1106
2018-11-12 16:02:02 (2989820766316) STATS - 9.7, 1059
2018-11-12 16:02:02 (2989820909520) STATS - 9.8, 906
2018-11-12 16:02:02 (2989821023223) STATS - 9.9, 730
2018-11-12 16:02:02 (2989821160927) STATS - 10.0, 683
2018-11-12 16:02:02 (2989821308131) STATS - 10.1, 598
2018-11-12 16:02:02 (2989821451634) STATS - 10.2, 583
2018-11-12 16:02:02 (2989821560637) STATS - 10.3, 507
2018-11-12 16:02:02 (2989821671141) STATS - 10.4, 519
2018-11-12 16:02:02 (2989821805144) STATS - 10.5, 457
2018-11-12 16:02:02 (2989821925147) STATS - 10.6, 398
2018-11-12 16:02:02 (2989822039251) STATS - 10.7, 362
2018-11-12 16:02:02 (2989822171554) STATS - 10.8, 373
2018-11-12 16:02:02 (2989822369060) STATS - 10.9, 439
2018-11-12 16:02:02 (2989822514064) STATS - 11.0, 398
2018-11-12 16:02:02 (2989822673768) STATS - 11.1, 311
2018-11-12 16:02:02 (2989822816472) STATS - 11.2, 357
2018-11-12 16:02:02 (2989822934175) STATS - 11.3, 333
2018-11-12 16:02:02 (2989823063979) STATS - 11.4, 298
2018-11-12 16:02:02 (2989829807564) STATS - 11.5, 279
2018-11-12 16:02:02 (2989829959068) STATS - 11.6, 302
2018-11-12 16:02:02 (2989830078771) STATS - 11.7, 293
2018-11-12 16:02:02 (2989830217775) STATS - 11.8, 256
2018-11-12 16:02:02 (2989830333178) STATS - 11.9, 237
2018-11-12 16:02:02 (2989830440281) STATS - 12.0, 286
2018-11-12 16:02:02 (2989830548184) STATS - 12.1, 227
2018-11-12 16:02:02 (2989830649687) STATS - 12.2, 221
2018-11-12 16:02:02 (2989830781290) STATS - 12.3, 198
2018-11-12 16:02:02 (2989830910994) STATS - 12.4, 201
2018-11-12 16:02:02 (2989831067598) STATS - 12.5, 200
2018-11-12 16:02:02 (2989831204302) STATS - 12.6, 165
2018-11-12 16:02:02 (2989831322705) STATS - 12.7, 192
2018-11-12 16:02:02 (2989831436508) STATS - 12.8, 187
2018-11-12 16:02:02 (2989831543411) STATS - 12.9, 184
2018-11-12 16:02:02 (2989831648714) STATS - 13.0, 208
2018-11-12 16:02:02 (2989831766317) STATS - 13.1, 221
2018-11-12 16:02:02 (2989831889621) STATS - 13.2, 201
2018-11-12 16:02:02 (2989831995424) STATS - 13.3, 204
2018-11-12 16:02:02 (2989832118827) STATS - 13.4, 196
2018-11-12 16:02:02 (2989832222830) STATS - 13.5, 154
2018-11-12 16:02:02 (2989832328033) STATS - 13.6, 182
2018-11-12 16:02:02 (2989832433436) STATS - 13.7, 156
2018-11-12 16:02:02 (2989838972715) STATS - 13.8, 173
2018-11-12 16:02:02 (2989839093018) STATS - 13.9, 194
2018-11-12 16:02:02 (2989839199021) STATS - 14.0, 164
2018-11-12 16:02:02 (2989839309524) STATS - 14.1, 171
2018-11-12 16:02:02 (2989839417427) STATS - 14.2, 138
2018-11-12 16:02:02 (2989839522930) STATS - 14.3, 152
2018-11-12 16:02:02 (2989839628633) STATS - 14.4, 122
2018-11-12 16:02:02 (2989839736336) STATS - 14.5, 128
2018-11-12 16:02:02 (2989839843739) STATS - 14.6, 114
2018-11-12 16:02:02 (2989839961842) STATS - 14.7, 104
2018-11-12 16:02:02 (2989840107246) STATS - 14.8, 123
2018-11-12 16:02:02 (2989840217649) STATS - 14.9, 100
2018-11-12 16:02:02 (2989840341952) STATS - 15.0, 84
2018-11-12 16:02:02 (2989840454855) STATS - 15.1, 94
2018-11-12 16:02:02 (2989840573459) STATS - 15.2, 90
2018-11-12 16:02:02 (2989840683462) STATS - 15.3, 97
2018-11-12 16:02:02 (2989840789465) STATS - 15.4, 103
2018-11-12 16:02:02 (2989841038071) STATS - 15.5, 80
2018-11-12 16:02:02 (2989841157175) STATS - 15.6, 83
2018-11-12 16:02:02 (2989841267778) STATS - 15.7, 85
2018-11-12 16:02:02 (2989841421382) STATS - 15.8, 93
2018-11-12 16:02:02 (2989841532285) STATS - 15.9, 69
2018-11-12 16:02:02 (2989848094565) STATS - 16.0, 86
2018-11-12 16:02:02 (2989848294670) STATS - 16.1, 72
2018-11-12 16:02:02 (2989848399873) STATS - 16.2, 48
2018-11-12 16:02:02 (2989848506476) STATS - 16.3, 50
2018-11-12 16:02:02 (2989848607379) STATS - 16.4, 48
2018-11-12 16:02:02 (2989848863486) STATS - 16.5, 66
2018-11-12 16:02:02 (2989848976789) STATS - 16.6, 46
2018-11-12 16:02:02 (2989849077892) STATS - 16.7, 59
2018-11-12 16:02:02 (2989849217896) STATS - 16.8, 37
2018-11-12 16:02:02 (2989849340799) STATS - 16.9, 33
2018-11-12 16:02:02 (2989849443402) STATS - 17.0, 44
2018-11-12 16:02:02 (2989849542805) STATS - 17.1, 41
2018-11-12 16:02:02 (2989849646307) STATS - 17.2, 52
2018-11-12 16:02:02 (2989849757910) STATS - 17.3, 34
2018-11-12 16:02:02 (2989849859613) STATS - 17.4, 24
2018-11-12 16:02:02 (2989849966116) STATS - 17.5, 25
