ratio,VCs,run,client,instance,Throughput (ops/s),ResponseTime (ms)
0:1,40,3,2,1,1050.84,76.71
0:1,40,3,3,1,1029.82,78.35
0:1,48,1,1,1,893.52,108.39
0:1,48,1,2,1,1031.12,94.45
0:1,48,1,3,1,983.70,98.84
0:1,48,2,1,1,813.66,118.36
0:1,48,2,2,1,1038.22,93.10
0:1,48,2,3,1,1064.18,90.97
0:1,48,3,1,1,821.00,117.97
0:1,48,3,2,1,1055.08,91.66
0:1,48,3,3,1,1043.24,92.38
0:1,64,1,1,1,870.82,147.93
0:1,64,1,2,1,1107.36,115.82
0:1,64,1,3,1,929.64,138.44
0:1,64,2,1,1,836.50,154.64
0:1,64,2,2,1,1091.02,118.11
0:1,64,2,3,1,979.36,131.32
0:1,64,3,1,1,822.42,156.86
0:1,64,3,2,1,1050.08,123.48
0:1,64,3,3,1,1041.12,123.30
1:0,1,1,1,1,1922.38,1.11
1:0,1,1,2,1,2066.20,1.02
1:0,1,1,3,1,2378.10,0.89
1:0,1,2,1,1,1927.42,1.09
1:0,1,2,2,1,2150.02,0.97
1:0,1,2,3,1,2394.98,0.91
1:0,1,3,1,1,1831.00,1.15
1:0,1,3,2,1,2030.22,1.03
1:0,1,3,3,1,2229.26,0.94
1:0,4,1,1,1,3467.74,2.43
1:0,4,1,2,1,3927.86,2.14
1:0,4,1,3,1,4050.12,2.08
1:0,4,2,1,1,3580.80,2.27
1:0,4,2,2,1,4108.66,1.98
1:0,4,2,3,1,4186.82,1.94
1:0,4,3,1,1,3489.36,2.75
1:0,4,3,2,1,3988.52,2.28
1:0,4,3,3,1,4001.52,2.26
1:0,8,1,1,1,4256.10,3.94
1:0,8,1,2,1,5128.84,3.26
1:0,8,1,3,1,5042.22,3.23
1:0,8,2,1,1,4262.44,3.75
1:0,8,2,2,1,5322.30,3.01
1:0,8,2,3,1,5061.72,3.16
1:0,8,3,1,1,4182.30,3.94
1:0,8,3,2,1,5134.20,3.23
1:0,8,3,3,1,4977.58,3.32
1:0,16,1,1,1,5051.54,6.58
1:0,16,1,2,1,5637.52,5.79
1:0,16,1,3,1,5613.96,5.85
1:0,16,2,1,1,5194.96,6.37
1:0,16,2,2,1,5702.90,5.75
1:0,16,2,3,1,5677.74,5.82
1:0,16,3,1,1,5326.38,6.11
1:0,16,3,2,1,5783.06,5.58
1:0,16,3,3,1,5778.70,5.58
1:0,24,1,1,1,5756.28,8.35
1:0,24,1,2,1,5859.64,8.19
1:0,24,1,3,1,5873.16,8.17
1:0,24,2,1,1,5562.32,9.07
1:0,24,2,2,1,5629.86,8.76
1:0,24,2,3,1,5626.00,8.80
1:0,24,3,1,1,5709.98,8.58
1:0,24,3,2,1,5736.94,8.48
1:0,24,3,3,1,5758.64,8.45
1:0,32,1,1,1,5681.34,11.57
1:0,32,1,2,1,5700.98,11.48
1:0,32,1,3,1,5706.14,11.57
1:0,32,2,1,1,5595.02,11.77
1:0,32,2,2,1,5671.96,11.49
1:0,32,2,3,1,5675.62,11.51
1:0,32,3,1,1,5753.86,11.49
1:0,32,3,2,1,5754.82,11.62
1:0,32,3,3,1,5757.44,11.75
1:0,40,1,1,1,5872.80,13.62
1:0,40,1,2,1,5874.32,13.62
1:0,40,1,3,1,5681.64,14.43
1:0,40,2,1,1,5866.46,13.63
1:0,40,2,2,1,5877.62,13.61
1:0,40,2,3,1,5886.32,13.59
1:0,40,3,1,1,5855.34,13.66
1:0,40,3,2,1,5873.36,13.62
1:0,40,3,3,1,5873.44,13.62
1:0,48,1,1,1,5868.28,16.36
1:0,48,1,2,1,5867.04,16.37
1:0,48,1,3,1,5856.38,16.41
1:0,48,2,1,1,5872.18,16.35
1:0,48,2,2,1,5880.84,16.32
1:0,48,2,3,1,5876.78,16.33
1:0,48,3,1,1,5860.00,16.40
1:0,48,3,2,1,5868.64,16.36
1:0,48,3,3,1,5864.98,16.37
1:0,64,1,1,1,5848.88,21.89
1:0,64,1,2,1,5841.86,21.92
1:0,64,1,3,1,5847.96,19.86
1:0,64,2,1,1,5840.94,21.93
1:0,64,2,2,1,5850.88,21.89
1:0,64,2,3,1,5868.82,21.82
1:0,64,3,1,1,5829.54,21.97
1:0,64,3,2,1,5855.28,21.86
1:0,64,3,3,1,5875.78,21.79
