Elapsed Time, AVG Throughput, AVG Queue Size, AVG Waiting Time, AVG Service Time, AVG Response Time, AVG SET Response Time, AVG GET Response Time, AVG MULTI-GET Response Time, #SETS, #GETS, #MULTIGETS, GET MissRatio, MULTI-GET MissRatio, AVG MULTI-GET Size
 5.00, 2798, 166, 59.247933, 2.636176, 62.000799, 0.000000, 62.000799, 0.000000, 0, 13991, 0, 0.00, 0.00, 0
10.00, 2924, 170, 60.339724, 2.679254, 63.084284, 0.000000, 63.084284, 0.000000, 0, 14622, 0, 0.00, 0.00, 0
15.00, 2923, 170, 60.486781, 2.668150, 63.231771, 0.000000, 63.231771, 0.000000, 0, 14617, 0, 0.00, 0.00, 0
20.00, 2924, 170, 60.351304, 2.669965, 63.091127, 0.000000, 63.091127, 0.000000, 0, 14620, 0, 0.00, 0.00, 0
25.00, 2921, 170, 60.446079, 2.673664, 63.190403, 0.000000, 63.190403, 0.000000, 0, 14609, 0, 0.00, 0.00, 0
30.00, 2924, 170, 60.277792, 2.664362, 63.020332, 0.000000, 63.020332, 0.000000, 0, 14622, 0, 0.00, 0.00, 0
35.00, 2924, 170, 60.146198, 2.677606, 62.888822, 0.000000, 62.888822, 0.000000, 0, 14622, 0, 0.00, 0.00, 0
40.00, 2923, 170, 60.241148, 2.663583, 62.982244, 0.000000, 62.982244, 0.000000, 0, 14619, 0, 0.00, 0.00, 0
45.00, 2923, 170, 60.386427, 2.685907, 63.134137, 0.000000, 63.134137, 0.000000, 0, 14616, 0, 0.00, 0.00, 0
50.00, 2931, 170, 60.114228, 2.675281, 62.858171, 0.000000, 62.858171, 0.000000, 0, 14658, 0, 0.00, 0.00, 0
55.00, 2935, 169, 60.049408, 2.658497, 62.776021, 0.000000, 62.776021, 0.000000, 0, 14678, 0, 0.00, 0.00, 0
60.00, 2923, 170, 60.248291, 2.673107, 62.995481, 0.000000, 62.995481, 0.000000, 0, 14618, 0, 0.00, 0.00, 0
65.00, 2922, 169, 60.234900, 2.682758, 62.984788, 0.000000, 62.984788, 0.000000, 0, 14612, 0, 0.00, 0.00, 0
70.00, 2925, 169, 60.123379, 2.675525, 62.864426, 0.000000, 62.864426, 0.000000, 0, 14625, 0, 0.00, 0.00, 0
71.00, 608, 18, 8.500352, 2.217032, 10.770461, 0.000000, 10.770461, 0.000000, 0, 3042, 0, 0.00, 0.00, 0
Type, Interval, Responses
GET, 0.1, 0
GET, 0.2, 0
GET, 0.3, 0
GET, 0.4, 0
GET, 0.5, 2
GET, 0.6, 6
GET, 0.7, 26
GET, 0.8, 37
GET, 0.9, 83
GET, 1.0, 97
GET, 1.1, 96
GET, 1.2, 116
GET, 1.3, 124
GET, 1.4, 99
GET, 1.5, 99
GET, 1.6, 85
GET, 1.7, 93
GET, 1.8, 69
GET, 1.9, 48
GET, 2.0, 49
GET, 2.1, 38
GET, 2.2, 60
GET, 2.3, 34
GET, 2.4, 22
GET, 2.5, 31
GET, 2.6, 19
GET, 2.7, 15
GET, 2.8, 14
GET, 2.9, 10
GET, 3.0, 13
GET, 3.1, 4
GET, 3.2, 11
GET, 3.3, 8
GET, 3.4, 10
GET, 3.5, 11
GET, 3.6, 15
GET, 3.7, 8
GET, 3.8, 6
GET, 3.9, 2
GET, 4.0, 15
GET, 4.1, 6
GET, 4.2, 8
GET, 4.3, 8
GET, 4.4, 6
GET, 4.5, 8
GET, 4.6, 6
GET, 4.7, 7
GET, 4.8, 11
GET, 4.9, 8
GET, 5.0, 7
GET, 5.1, 21
GET, 5.2, 12
GET, 5.3, 1
GET, 5.4, 3
GET, 5.5, 7
GET, 5.6, 14
GET, 5.7, 7
GET, 5.8, 15
GET, 5.9, 6
GET, 6.0, 15
GET, 6.1, 18
GET, 6.2, 18
GET, 6.3, 19
GET, 6.4, 17
GET, 6.5, 13
GET, 6.6, 18
GET, 6.7, 18
GET, 6.8, 17
GET, 6.9, 11
GET, 7.0, 14
GET, 7.1, 16
GET, 7.2, 20
GET, 7.3, 10
GET, 7.4, 19
GET, 7.5, 13
GET, 7.6, 23
GET, 7.7, 19
GET, 7.8, 12
GET, 7.9, 12
GET, 8.0, 6
GET, 8.1, 17
GET, 8.2, 21
GET, 8.3, 10
GET, 8.4, 18
GET, 8.5, 18
GET, 8.6, 9
GET, 8.7, 8
GET, 8.8, 4
GET, 8.9, 5
GET, 9.0, 15
GET, 9.1, 16
GET, 9.2, 9
GET, 9.3, 8
GET, 9.4, 17
GET, 9.5, 10
GET, 9.6, 10
GET, 9.7, 14
GET, 9.8, 5
GET, 9.9, 8
GET, 10.0, 16
GET, 10.1, 13
GET, 10.2, 11
GET, 10.3, 17
GET, 10.4, 9
GET, 10.5, 11
GET, 10.6, 11
GET, 10.7, 17
GET, 10.8, 14
GET, 10.9, 14
