Elapsed Time, AVG Throughput, AVG Queue Size, AVG Waiting Time, AVG Service Time, AVG Response Time, AVG SET Response Time, AVG GET Response Time, AVG MULTI-GET Response Time, #SETS, #GETS, #MULTIGETS, GET MissRatio, MULTI-GET MissRatio, AVG MULTI-GET Size
SET, 17.6, 5401
SET, 17.7, 5418
SET, 17.8, 5484
SET, 17.9, 5516
SET, 18.0, 5616
SET, 18.1, 5564
SET, 18.2, 5479
SET, 18.3, 5506
SET, 18.4, 5605
SET, 18.5, 5375
SET, 18.6, 5310
SET, 18.7, 5412
SET, 18.8, 5380
SET, 18.9, 5385
SET, 19.0, 5407
SET, 19.1, 5496
SET, 19.2, 5284
SET, 19.3, 5317
SET, 19.4, 5388
SET, 19.5, 5408
SET, 19.6, 5245
SET, 19.7, 5191
SET, 19.8, 4980
SET, 19.9, 4921
SET, 20.0, 4882
SET, 20.1, 4762
SET, 20.2, 4701
SET, 20.3, 4647
SET, 20.4, 4671
SET, 20.5, 4545
SET, 20.6, 4557
SET, 20.7, 4413
SET, 20.8, 4237
SET, 20.9, 4476
SET, 21.0, 4332
SET, 21.1, 4193
SET, 21.2, 4304
SET, 21.3, 4122
SET, 21.4, 4209
SET, 21.5, 3992
SET, 21.6, 3865
SET, 21.7, 3847
SET, 21.8, 3917
SET, 21.9, 3838
SET, 22.0, 3761
SET, 22.1, 3582
SET, 22.2, 3642
SET, 22.3, 3562
SET, 22.4, 3482
SET, 22.5, 3373
SET, 22.6, 3355
SET, 22.7, 3037
SET, 22.8, 3108
SET, 22.9, 2959
SET, 23.0, 2945
SET, 23.1, 2852
SET, 23.2, 2850
SET, 23.3, 2783
SET, 23.4, 2686
SET, 23.5, 2658
SET, 23.6, 2565
SET, 23.7, 2564
SET, 23.8, 2432
SET, 23.9, 2361
SET, 24.0, 2319
SET, 24.1, 2144
SET, 24.2, 2094
SET, 24.3, 2041
SET, 24.4, 1927
SET, 24.5, 1894
SET, 24.6, 1755
SET, 24.7, 1804
SET, 24.8, 1714
SET, 24.9, 1608
SET, 25.0, 1606
SET, 25.1, 1579
SET, 25.2, 1462
SET, 25.3, 1439
SET, 25.4, 1358
SET, 25.5, 1361
SET, 25.6, 1296
SET, 25.7, 1213
SET, 25.8, 1182
SET, 25.9, 1120
SET, 26.0, 1135
SET, 26.1, 1035
SET, 26.2, 1010
SET, 26.3, 1018
SET, 26.4, 919
SET, 26.5, 893
SET, 26.6, 836
SET, 26.7, 863
SET, 26.8, 751
SET, 26.9, 727
SET, 27.0, 685
SET, 27.1, 721
SET, 27.2, 661
SET, 27.3, 619
SET, 27.4, 580
SET, 27.5, 526
SET, 27.6, 527
SET, 27.7, 505
SET, 27.8, 528
SET, 27.9, 508
SET, 28.0, 472
SET, 28.1, 506
SET, 28.2, 430
SET, 28.3, 460
SET, 28.4, 388
SET, 28.5, 414
SET, 28.6, 369
SET, 28.7, 352
SET, 28.8, 346
SET, 28.9, 339
SET, 29.0, 330
SET, 29.1, 293
SET, 29.2, 318
SET, 29.3, 291
SET, 29.4, 312
SET, 29.5, 280
SET, 29.6, 306
SET, 29.7, 279
SET, 29.8, 307
SET, 29.9, 236
SET, 30.0, 249
SET, 30.1, 218
SET, 30.2, 213
SET, 30.3, 216
SET, 30.4, 198
SET, 30.5, 189
SET, 30.6, 163
SET, 30.7, 171
SET, 30.8, 172
SET, 30.9, 177
SET, 31.0, 188
SET, 31.1, 175
SET, 31.2, 166
SET, 31.3, 167
SET, 31.4, 174
SET, 31.5, 131
SET, 31.6, 147
SET, 31.7, 141
SET, 31.8, 126
SET, 31.9, 97
SET, 32.0, 116
SET, 32.1, 110
SET, 32.2, 81
SET, 32.3, 105
SET, 32.4, 85
SET, 32.5, 98
SET, 32.6, 82
SET, 32.7, 98
SET, 32.8, 112
SET, 32.9, 79
SET, 33.0, 102
SET, 33.1, 100
SET, 33.2, 101
SET, 33.3, 94
SET, 33.4, 90
SET, 33.5, 77
SET, 33.6, 78
SET, 33.7, 116
SET, 33.8, 105
SET, 33.9, 88
SET, 34.0, 84
SET, 34.1, 75
SET, 34.2, 81
SET, 34.3, 84
SET, 34.4, 58
SET, 34.5, 63
SET, 34.6, 78
SET, 34.7, 62
SET, 34.8, 60
SET, 34.9, 47
SET, 35.0, 45
SET, 35.1, 63
SET, 35.2, 44
SET, 35.3, 45
SET, 35.4, 62
SET, 35.5, 80
SET, 35.6, 60
SET, 35.7, 44
SET, 35.8, 47
SET, 35.9, 44
SET, 36.0, 51
SET, 36.1, 55
SET, 36.2, 54
SET, 36.3, 55
SET, 36.4, 44
SET, 36.5, 48
SET, 36.6, 42
SET, 36.7, 52
SET, 36.8, 36
SET, 36.9, 41
SET, 37.0, 31
SET, 37.1, 35
SET, 37.2, 40
SET, 37.3, 54
SET, 37.4, 21
SET, 37.5, 29
SET, 37.6, 26
SET, 37.7, 41
SET, 37.8, 23
SET, 37.9, 26
SET, 38.0, 26
SET, 38.1, 24
SET, 38.2, 22
SET, 38.3, 22
SET, 38.4, 24
SET, 38.5, 14
SET, 38.6, 13
SET, 38.7, 19
SET, 38.8, 14
SET, 38.9, 12
SET, 39.0, 13
SET, 39.1, 8
SET, 39.2, 21
SET, 39.3, 20
SET, 39.4, 11
SET, 39.5, 13
SET, 39.6, 16
SET, 39.7, 20
