2018-11-23 18:58:38 (4750932670098) INFO  - START: Middleware listening on address 10.0.0.4:8888.
2018-11-23 19:00:02 (4834665476387) STATS -  5.00, 6496, 17, 2.198282, 1.357698, 3.678954, 3.678954, 0.000000, 0.000000, 32483, 0, 0, 0.00, 0.00, 0
2018-11-23 19:00:02 (4834948852317) STATS - 10.00, 7986, 17, 1.560974, 1.081155, 2.762982, 2.762982, 0.000000, 0.000000, 39930, 0, 0, 0.00, 0.00, 0
2018-11-23 19:00:02 (4835080585524) STATS - 15.00, 8018, 17, 1.590722, 1.100343, 2.810798, 2.810798, 0.000000, 0.000000, 40091, 0, 0, 0.00, 0.00, 0
2018-11-23 19:00:02 (4835207446430) STATS - 20.00, 8074, 16, 1.470072, 1.181688, 2.756676, 2.756676, 0.000000, 0.000000, 40374, 0, 0, 0.00, 0.00, 0
2018-11-23 19:00:03 (4835327423854) STATS - 25.00, 8030, 17, 1.560499, 1.143822, 2.803308, 2.803308, 0.000000, 0.000000, 40153, 0, 0, 0.00, 0.00, 0
2018-11-23 19:00:03 (4835436620234) STATS - 30.00, 7891, 17, 1.652256, 1.109819, 2.884433, 2.884433, 0.000000, 0.000000, 39458, 0, 0, 0.00, 0.00, 0
2018-11-23 19:00:03 (4835546188829) STATS - 35.00, 7821, 18, 1.727154, 1.135851, 2.982530, 2.982530, 0.000000, 0.000000, 39109, 0, 0, 0.00, 0.00, 0
2018-11-23 19:00:03 (4835644268953) STATS - 40.00, 7960, 18, 1.656755, 1.164485, 2.953587, 2.953587, 0.000000, 0.000000, 39803, 0, 0, 0.00, 0.00, 0
2018-11-23 19:00:03 (4835742177169) STATS - 45.00, 8056, 17, 1.536535, 1.161231, 2.793863, 2.793863, 0.000000, 0.000000, 40284, 0, 0, 0.00, 0.00, 0
2018-11-23 19:00:03 (4835812089137) STATS - 50.00, 7760, 18, 1.750793, 1.201526, 3.076013, 3.076013, 0.000000, 0.000000, 38804, 0, 0, 0.00, 0.00, 0
2018-11-23 19:00:03 (4835894378313) STATS - 55.00, 7658, 17, 1.723077, 1.203465, 3.040637, 3.040637, 0.000000, 0.000000, 38292, 0, 0, 0.00, 0.00, 0
2018-11-23 19:00:03 (4835960749336) STATS - 60.00, 7726, 17, 1.678889, 1.195517, 2.989527, 2.989527, 0.000000, 0.000000, 38634, 0, 0, 0.00, 0.00, 0
2018-11-23 19:00:03 (4836020914604) STATS - 65.00, 7792, 17, 1.653768, 1.212473, 2.999038, 2.999038, 0.000000, 0.000000, 38961, 0, 0, 0.00, 0.00, 0
2018-11-23 19:00:03 (4836061937687) STATS - 70.00, 7614, 18, 1.781105, 1.171792, 3.065602, 3.065602, 0.000000, 0.000000, 38071, 0, 0, 0.00, 0.00, 0
2018-11-23 19:00:03 (4836071528481) STATS - 70.00, 129, 3, 0.574040, 1.062593, 1.754687, 1.754687, 0.000000, 0.000000, 646, 0, 0, 0.00, 0.00, 0
2018-11-23 19:00:04 (4836624801874) STATS - Type, Interval, Responses
2018-11-23 19:00:04 (4837065746557) STATS - SET, 0.1, 0
2018-11-23 19:00:04 (4837065974866) STATS - SET, 0.2, 0
2018-11-23 19:00:04 (4837066112472) STATS - SET, 0.3, 0
2018-11-23 19:00:04 (4837066247878) STATS - SET, 0.4, 141
2018-11-23 19:00:04 (4837066379183) STATS - SET, 0.5, 2276
2018-11-23 19:00:04 (4837066579291) STATS - SET, 0.6, 5464
2018-11-23 19:00:04 (4837066708796) STATS - SET, 0.7, 7297
2018-11-23 19:00:04 (4837066831402) STATS - SET, 0.8, 8343
2018-11-23 19:00:04 (4837066967107) STATS - SET, 0.9, 9807
2018-11-23 19:00:04 (4837072886950) STATS - SET, 1.0, 10666
2018-11-23 19:00:04 (4837073099959) STATS - SET, 1.1, 11011
2018-11-23 19:00:04 (4837073228564) STATS - SET, 1.2, 11447
2018-11-23 19:00:04 (4837073407571) STATS - SET, 1.3, 11716
2018-11-23 19:00:04 (4837073536676) STATS - SET, 1.4, 12661
2018-11-23 19:00:04 (4837073666082) STATS - SET, 1.5, 13482
2018-11-23 19:00:04 (4837073833089) STATS - SET, 1.6, 15234
2018-11-23 19:00:04 (4837074316408) STATS - SET, 1.7, 17807
2018-11-23 19:00:04 (4837074445914) STATS - SET, 1.8, 20724
2018-11-23 19:00:04 (4837074616221) STATS - SET, 1.9, 23889
2018-11-23 19:00:04 (4837074738926) STATS - SET, 2.0, 26733
2018-11-23 19:00:04 (4837074879732) STATS - SET, 2.1, 27952
2018-11-23 19:00:04 (4837075035838) STATS - SET, 2.2, 27617
2018-11-23 19:00:04 (4837075174344) STATS - SET, 2.3, 26323
2018-11-23 19:00:04 (4837075296549) STATS - SET, 2.4, 23911
2018-11-23 19:00:04 (4837075766168) STATS - SET, 2.5, 21174
2018-11-23 19:00:04 (4837075940975) STATS - SET, 2.6, 18338
2018-11-23 19:00:04 (4837076122583) STATS - SET, 2.7, 15560
2018-11-23 19:00:04 (4837076247288) STATS - SET, 2.8, 13305
2018-11-23 19:00:04 (4837076367893) STATS - SET, 2.9, 11290
2018-11-23 19:00:04 (4837076551700) STATS - SET, 3.0, 9878
2018-11-23 19:00:04 (4837076679405) STATS - SET, 3.1, 8439
2018-11-23 19:00:04 (4837076799410) STATS - SET, 3.2, 7264
2018-11-23 19:00:04 (4837076961317) STATS - SET, 3.3, 6356
2018-11-23 19:00:04 (4837077112023) STATS - SET, 3.4, 5611
2018-11-23 19:00:04 (4837083154771) STATS - SET, 3.5, 4979
2018-11-23 19:00:04 (4837083287676) STATS - SET, 3.6, 4277
2018-11-23 19:00:04 (4837083422582) STATS - SET, 3.7, 3837
2018-11-23 19:00:04 (4837083555987) STATS - SET, 3.8, 3401
2018-11-23 19:00:04 (4837083673692) STATS - SET, 3.9, 3066
2018-11-23 19:00:04 (4837083790497) STATS - SET, 4.0, 2690
2018-11-23 19:00:04 (4837083910102) STATS - SET, 4.1, 2560
2018-11-23 19:00:04 (4837084047308) STATS - SET, 4.2, 2335
2018-11-23 19:00:04 (4837084179313) STATS - SET, 4.3, 2059
2018-11-23 19:00:04 (4837084302718) STATS - SET, 4.4, 1991
2018-11-23 19:00:04 (4837084477925) STATS - SET, 4.5, 1880
