2018-10-21 19:28:14 (15361716607299) INFO  - START: Middleware listening on address 10.0.0.11:8888.
2018-10-21 19:29:37 (15444082323884) STATS - 5.3, 370
2018-10-21 19:29:37 (15444082516990) STATS - 5.4, 309
2018-10-21 19:29:37 (15444082746397) STATS - 5.5, 343
2018-10-21 19:29:37 (15444082939402) STATS - 5.6, 356
2018-10-21 19:29:37 (15444088754773) STATS - 5.7, 437
2018-10-21 19:29:37 (15444088968779) STATS - 5.8, 491
2018-10-21 19:29:37 (15444089168185) STATS - 5.9, 644
2018-10-21 19:29:37 (15444089361891) STATS - 6.0, 1130
2018-10-21 19:29:37 (15444089612598) STATS - 6.1, 1428
2018-10-21 19:29:37 (15444089805904) STATS - 6.2, 1462
2018-10-21 19:29:37 (15444090006110) STATS - 6.3, 1401
2018-10-21 19:29:37 (15444090197515) STATS - 6.4, 1404
2018-10-21 19:29:37 (15444090397421) STATS - 6.5, 1235
2018-10-21 19:29:37 (15444090623028) STATS - 6.6, 1141
2018-10-21 19:29:37 (15444090817333) STATS - 6.7, 961
2018-10-21 19:29:37 (15444091012739) STATS - 6.8, 913
2018-10-21 19:29:37 (15444091315648) STATS - 6.9, 756
2018-10-21 19:29:37 (15444091755761) STATS - 7.0, 710
2018-10-21 19:29:37 (15444091995468) STATS - 7.1, 635
2018-10-21 19:29:37 (15444092215974) STATS - 7.2, 531
2018-10-21 19:29:37 (15444092406380) STATS - 7.3, 425
2018-10-21 19:29:37 (15444092625386) STATS - 7.4, 384
2018-10-21 19:29:37 (15444092814592) STATS - 7.5, 364
2018-10-21 19:29:37 (15444093237804) STATS - 7.6, 299
2018-10-21 19:29:37 (15444093500812) STATS - 7.7, 257
2018-10-21 19:29:37 (15444093691318) STATS - 7.8, 232
2018-10-21 19:29:37 (15444093869823) STATS - 7.9, 137
2018-10-21 19:29:37 (15444094045628) STATS - 8.0, 163
2018-10-21 19:29:37 (15444094262034) STATS - 8.1, 156
2018-10-21 19:29:37 (15444094440040) STATS - 8.2, 145
2018-10-21 19:29:37 (15444094647346) STATS - 8.3, 116
2018-10-21 19:29:37 (15444094825951) STATS - 8.4, 104
2018-10-21 19:29:37 (15444095003756) STATS - 8.5, 73
2018-10-21 19:29:37 (15444095194462) STATS - 8.6, 75
2018-10-21 19:29:37 (15444095375167) STATS - 8.7, 92
2018-10-21 19:29:37 (15444095557672) STATS - 8.8, 82
2018-10-21 19:29:37 (15444101656251) STATS - 8.9, 75
2018-10-21 19:29:37 (15444101885158) STATS - 9.0, 60
2018-10-21 19:29:37 (15444102067163) STATS - 9.1, 52
2018-10-21 19:29:37 (15444102244968) STATS - 9.2, 78
2018-10-21 19:29:37 (15444102422273) STATS - 9.3, 84
2018-10-21 19:29:37 (15444102609679) STATS - 9.4, 73
2018-10-21 19:29:37 (15444102826485) STATS - 9.5, 75
2018-10-21 19:29:37 (15444103007591) STATS - 9.6, 62
2018-10-21 19:29:37 (15444103231397) STATS - 9.7, 75
2018-10-21 19:29:37 (15444103441103) STATS - 9.8, 90
2018-10-21 19:29:37 (15444103628809) STATS - 9.9, 196
2018-10-21 19:29:37 (15444103824715) STATS - 10.0, 203
2018-10-21 19:29:37 (15444104066222) STATS - 10.1, 97
2018-10-21 19:29:37 (15444104295828) STATS - 10.2, 78
2018-10-21 19:29:37 (15444104476834) STATS - 10.3, 52
2018-10-21 19:29:37 (15444104667939) STATS - 10.4, 40
2018-10-21 19:29:37 (15444104845944) STATS - 10.5, 56
2018-10-21 19:29:37 (15444105024950) STATS - 10.6, 49
2018-10-21 19:29:37 (15444105203955) STATS - 10.7, 39
2018-10-21 19:29:37 (15444105409561) STATS - 10.8, 47
2018-10-21 19:29:37 (15444111576442) STATS - 10.9, 40
2018-10-21 19:29:37 (15444111811349) STATS - 11.0, 32
2018-10-21 19:29:37 (15444112085557) STATS - 11.1, 45
2018-10-21 19:29:37 (15444112334364) STATS - 11.2, 29
2018-10-21 19:29:37 (15444112530670) STATS - 11.3, 37
2018-10-21 19:29:37 (15444112706475) STATS - 11.4, 38
