Elapsed Time, AVG Throughput, AVG Queue Size, AVG Waiting Time, AVG Service Time, AVG Response Time, AVG SET Response Time, AVG GET Response Time, AVG MULTI-GET Response Time, #SETS, #GETS, #MULTIGETS, GET MissRatio, MULTI-GET MissRatio, AVG MULTI-GET Size
 5.00, 6350, 161, 24.755194, 1.129849, 25.960140, 0.000000, 25.960140, 0.000000, 0, 31752, 0, 1.00, 0.00, 0
10.00, 8080, 160, 20.018457, 0.940980, 21.004623, 0.000000, 21.004623, 0.000000, 0, 40403, 0, 1.00, 0.00, 0
15.00, 8190, 161, 19.774234, 0.927725, 20.748347, 0.000000, 20.748347, 0.000000, 0, 40950, 0, 1.00, 0.00, 0
20.00, 7972, 161, 20.383968, 0.950601, 21.385044, 0.000000, 21.385044, 0.000000, 0, 39863, 0, 1.00, 0.00, 0
25.00, 8182, 160, 19.751228, 0.923988, 20.725753, 0.000000, 20.725753, 0.000000, 0, 40911, 0, 1.00, 0.00, 0
30.00, 7795, 161, 20.901135, 0.972296, 21.923598, 0.000000, 21.923598, 0.000000, 0, 38977, 0, 1.00, 0.00, 0
35.00, 7604, 161, 21.368147, 1.002780, 22.418585, 0.000000, 22.418585, 0.000000, 0, 38023, 0, 1.00, 0.00, 0
40.00, 7856, 161, 20.632936, 0.965452, 21.649585, 0.000000, 21.649585, 0.000000, 0, 39282, 0, 1.00, 0.00, 0
45.00, 7626, 162, 21.349297, 0.992667, 22.396321, 0.000000, 22.396321, 0.000000, 0, 38132, 0, 1.00, 0.00, 0
50.00, 7751, 161, 20.887288, 0.971921, 21.915922, 0.000000, 21.915922, 0.000000, 0, 38756, 0, 1.00, 0.00, 0
55.00, 7643, 162, 21.380053, 0.988298, 22.423505, 0.000000, 22.423505, 0.000000, 0, 38217, 0, 1.00, 0.00, 0
60.00, 7905, 161, 20.487276, 0.960544, 21.496048, 0.000000, 21.496048, 0.000000, 0, 39529, 0, 1.00, 0.00, 0
65.00, 7938, 161, 20.401248, 0.949047, 21.405653, 0.000000, 21.405653, 0.000000, 0, 39690, 0, 1.00, 0.00, 0
70.00, 8006, 161, 20.258352, 0.947447, 21.255678, 0.000000, 21.255678, 0.000000, 0, 40033, 0, 1.00, 0.00, 0
71.00, 809, 15, 2.442772, 1.116355, 3.605785, 0.000000, 3.605785, 0.000000, 0, 4047, 0, 1.00, 0.00, 0
Interval, Responses
0.1, 0
0.2, 0
0.3, 0
0.4, 0
0.5, 31
0.6, 117
0.7, 207
0.8, 263
0.9, 277
1.0, 280
1.1, 207
1.2, 161
1.3, 177
1.4, 141
1.5, 159
1.6, 150
1.7, 139
1.8, 105
1.9, 87
2.0, 92
2.1, 81
2.2, 40
2.3, 46
2.4, 60
2.5, 37
2.6, 45
2.7, 40
2.8, 41
2.9, 25
3.0, 31
3.1, 22
3.2, 32
3.3, 30
3.4, 29
3.5, 19
3.6, 8
3.7, 5
3.8, 19
3.9, 13
4.0, 7
4.1, 10
4.2, 6
4.3, 12
4.4, 7
4.5, 6
4.6, 9
4.7, 4
4.8, 13
4.9, 2
5.0, 5
5.1, 5
5.2, 3
5.3, 6
5.4, 8
5.5, 0
5.6, 1
5.7, 8
5.8, 10
5.9, 10
6.0, 11
6.1, 20
6.2, 22
6.3, 21
6.4, 10
6.5, 14
6.6, 16
6.7, 14
6.8, 3
6.9, 12
7.0, 7
7.1, 9
7.2, 14
7.3, 12
7.4, 7
7.5, 6
7.6, 18
7.7, 14
7.8, 15
7.9, 23
8.0, 24
8.1, 20
8.2, 29
8.3, 43
8.4, 54
8.5, 36
8.6, 43
8.7, 41
8.8, 77
8.9, 75
9.0, 86
9.1, 48
9.2, 107
9.3, 90
9.4, 112
9.5, 91
9.6, 97
9.7, 103
9.8, 129
9.9, 188
10.0, 169
10.1, 155
10.2, 220
10.3, 193
10.4, 216
10.5, 313
10.6, 311
10.7, 310
10.8, 277
10.9, 366
11.0, 374
11.1, 426
11.2, 422
11.3, 442
11.4, 494
11.5, 523
11.6, 580
11.7, 544
11.8, 584
11.9, 603
12.0, 647
12.1, 684
12.2, 734
12.3, 763
12.4, 737
12.5, 811
12.6, 876
12.7, 929
12.8, 966
12.9, 1038
13.0, 1088
13.1, 1094
13.2, 1163
13.3, 1061
13.4, 1219
13.5, 1420
13.6, 1369
13.7, 1276
13.8, 1384
13.9, 1412
14.0, 1578
14.1, 1615
14.2, 1552
14.3, 1704
14.4, 1662
14.5, 1774
14.6, 1827
14.7, 1845
14.8, 2025
14.9, 2013
15.0, 2020
15.1, 2060
15.2, 2144
15.3, 2341
15.4, 2339
15.5, 2337
15.6, 2498
15.7, 2386
15.8, 2508
15.9, 2569
16.0, 2617
16.1, 2792
16.2, 2791
16.3, 2832
16.4, 2776
16.5, 2843
