Elapsed Time, AVG Throughput, AVG Queue Size, AVG Waiting Time, AVG Service Time, AVG Response Time, AVG SET Response Time, AVG GET Response Time, AVG MULTI-GET Response Time, #SETS, #GETS, #MULTIGETS, GET MissRatio, MULTI-GET MissRatio, AVG MULTI-GET Size
 5.00, 6531, 160, 24.123694, 1.094540, 25.296361, 0.000000, 25.296361, 0.000000, 0, 32657, 0, 1.00, 0.00, 0
10.00, 6987, 164, 23.613332, 1.083151, 24.754296, 0.000000, 24.754296, 0.000000, 0, 34939, 0, 1.00, 0.00, 0
15.00, 7526, 162, 21.723059, 1.010796, 22.781873, 0.000000, 22.781873, 0.000000, 0, 37630, 0, 1.00, 0.00, 0
20.00, 7761, 161, 20.979760, 0.973142, 22.008204, 0.000000, 22.008204, 0.000000, 0, 38808, 0, 1.00, 0.00, 0
25.00, 7542, 162, 21.702556, 1.005813, 22.760914, 0.000000, 22.760914, 0.000000, 0, 37712, 0, 1.00, 0.00, 0
30.00, 7483, 162, 21.864068, 1.016351, 22.929306, 0.000000, 22.929306, 0.000000, 0, 37415, 0, 1.00, 0.00, 0
35.00, 7776, 161, 20.946633, 0.971163, 21.973783, 0.000000, 21.973783, 0.000000, 0, 38880, 0, 1.00, 0.00, 0
40.00, 8110, 158, 19.760088, 0.934528, 20.744482, 0.000000, 20.744482, 0.000000, 0, 40554, 0, 1.00, 0.00, 0
45.00, 8117, 159, 19.663384, 0.937749, 20.645869, 0.000000, 20.645869, 0.000000, 0, 40585, 0, 1.00, 0.00, 0
50.00, 7853, 161, 20.654839, 0.957812, 21.670489, 0.000000, 21.670489, 0.000000, 0, 39265, 0, 1.00, 0.00, 0
55.00, 7713, 161, 20.958993, 0.972385, 21.985892, 0.000000, 21.985892, 0.000000, 0, 38565, 0, 1.00, 0.00, 0
60.00, 8143, 159, 19.811100, 0.933491, 20.798632, 0.000000, 20.798632, 0.000000, 0, 40717, 0, 1.00, 0.00, 0
65.00, 8005, 160, 20.200147, 0.944768, 21.196470, 0.000000, 21.196470, 0.000000, 0, 40026, 0, 1.00, 0.00, 0
70.00, 8192, 159, 19.688502, 0.918022, 20.661324, 0.000000, 20.661324, 0.000000, 0, 40962, 0, 1.00, 0.00, 0
71.00, 783, 12, 2.139045, 0.984471, 3.182541, 0.000000, 3.182541, 0.000000, 0, 3916, 0, 1.00, 0.00, 0
Interval, Responses
0.1, 0
0.2, 0
0.3, 0
0.4, 4
0.5, 41
0.6, 146
0.7, 234
0.8, 277
0.9, 289
1.0, 266
1.1, 261
1.2, 215
1.3, 160
1.4, 161
1.5, 135
1.6, 120
1.7, 157
1.8, 122
1.9, 90
2.0, 101
2.1, 70
2.2, 55
2.3, 44
2.4, 43
2.5, 24
2.6, 36
2.7, 25
2.8, 22
2.9, 28
3.0, 30
3.1, 22
3.2, 15
3.3, 10
3.4, 13
3.5, 17
3.6, 14
3.7, 9
3.8, 12
3.9, 17
4.0, 12
4.1, 7
4.2, 8
4.3, 8
4.4, 0
4.5, 2
4.6, 3
4.7, 1
4.8, 4
4.9, 3
5.0, 13
5.1, 5
5.2, 9
5.3, 3
5.4, 5
5.5, 12
5.6, 7
5.7, 9
5.8, 8
5.9, 6
6.0, 11
6.1, 21
6.2, 17
6.3, 24
6.4, 20
6.5, 44
6.6, 34
6.7, 47
6.8, 35
6.9, 31
7.0, 46
7.1, 60
7.2, 41
7.3, 48
7.4, 72
7.5, 52
7.6, 60
7.7, 61
7.8, 82
7.9, 71
8.0, 67
8.1, 101
8.2, 91
8.3, 137
8.4, 90
8.5, 92
8.6, 133
8.7, 138
8.8, 128
8.9, 173
9.0, 149
9.1, 181
9.2, 171
9.3, 197
9.4, 180
9.5, 181
9.6, 238
9.7, 201
9.8, 255
9.9, 283
10.0, 260
10.1, 302
10.2, 307
10.3, 368
10.4, 384
10.5, 382
10.6, 411
10.7, 438
10.8, 474
10.9, 448
11.0, 542
11.1, 572
11.2, 505
11.3, 575
11.4, 671
11.5, 631
11.6, 648
11.7, 658
11.8, 646
11.9, 754
12.0, 894
12.1, 833
12.2, 789
12.3, 863
12.4, 921
12.5, 1050
12.6, 1121
12.7, 1028
12.8, 1070
12.9, 1077
13.0, 1171
13.1, 1217
13.2, 1250
13.3, 1278
13.4, 1353
13.5, 1372
13.6, 1354
13.7, 1447
13.8, 1476
13.9, 1525
14.0, 1496
14.1, 1633
14.2, 1544
14.3, 1471
14.4, 1667
14.5, 1679
14.6, 1658
14.7, 1801
14.8, 1853
14.9, 1724
15.0, 1844
15.1, 1840
15.2, 1956
15.3, 2025
15.4, 2017
15.5, 2187
15.6, 2088
15.7, 2249
15.8, 2330
15.9, 2424
16.0, 2321
16.1, 2467
16.2, 2452
16.3, 2491
16.4, 2616
16.5, 2612
