ratio,VCs,run,client,instance,Throughput (ops/s),ResponseTime (ms)
0:1,1,1,1,1,1394.18,0.71
0:1,1,1,1,2,1800.60,0.55
0:1,1,2,1,1,1385.26,0.71
0:1,1,2,1,2,1864.72,0.53
0:1,1,3,1,1,1373.00,0.72
0:1,1,3,1,2,1729.20,0.57
0:1,4,1,1,1,2932.76,1.36
0:1,4,1,1,2,2979.80,1.34
0:1,4,2,1,1,2933.20,1.36
0:1,4,2,1,2,2978.58,1.34
0:1,4,3,1,1,2932.78,1.36
0:1,4,3,1,2,2980.32,1.34
0:1,8,1,1,1,2931.82,2.72
0:1,8,1,1,2,2971.86,2.69
0:1,8,2,1,1,2929.82,2.73
0:1,8,2,1,2,2972.50,2.69
0:1,8,3,1,1,2930.32,2.73
0:1,8,3,1,2,2970.88,2.69
0:1,16,1,1,1,2931.52,5.45
0:1,16,1,1,2,2979.58,5.37
0:1,16,2,1,1,2935.70,5.44
0:1,16,2,1,2,2934.84,5.45
0:1,16,3,1,1,2935.76,5.45
0:1,16,3,1,2,2933.20,5.45
0:1,24,1,1,1,2932.90,8.18
0:1,24,1,1,2,2934.18,8.18
0:1,24,2,1,1,2934.60,8.17
0:1,24,2,1,2,2932.28,8.18
0:1,24,3,1,1,2935.94,8.17
0:1,24,3,1,2,2933.54,8.18
0:1,32,1,1,1,2933.46,10.90
0:1,32,1,1,2,2934.62,10.90
0:1,32,2,1,1,2932.06,10.91
0:1,32,2,1,2,2933.94,10.90
0:1,32,3,1,1,2934.34,10.90
0:1,32,3,1,2,2932.84,10.91
1:0,1,1,1,1,1449.78,0.69
1:0,1,1,1,2,1767.92,0.56
1:0,1,2,1,1,1296.36,0.77
1:0,1,2,1,2,1701.62,0.58
1:0,1,3,1,1,1366.88,0.73
1:0,1,3,1,2,1735.84,0.57
1:0,4,1,1,1,2754.14,1.45
1:0,4,1,1,2,3210.66,1.24
1:0,4,2,1,1,2681.16,1.49
1:0,4,2,1,2,3297.66,1.21
1:0,4,3,1,1,2697.22,1.48
1:0,4,3,1,2,3274.22,1.22
1:0,8,1,1,1,2659.32,3.01
1:0,8,1,1,2,3298.26,2.43
1:0,8,2,1,1,2886.44,2.77
1:0,8,2,1,2,3077.60,2.60
1:0,8,3,1,1,2741.88,2.92
1:0,8,3,1,2,3210.74,2.49
1:0,16,1,1,1,2853.36,5.61
1:0,16,1,1,2,3109.88,5.15
1:0,16,2,1,1,2817.32,5.68
1:0,16,2,1,2,3106.26,5.15
1:0,16,3,1,1,2823.14,5.67
1:0,16,3,1,2,3068.06,5.22
1:0,24,1,1,1,2777.70,8.64
1:0,24,1,1,2,3105.96,7.72
1:0,24,2,1,1,2790.24,8.60
1:0,24,2,1,2,3085.24,7.78
1:0,24,3,1,1,2804.80,8.56
1:0,24,3,1,2,3063.90,7.83
1:0,32,1,1,1,2751.84,11.63
1:0,32,1,1,2,3130.74,10.22
1:0,32,2,1,1,2816.30,11.37
1:0,32,2,1,2,3056.28,10.47
1:0,32,3,1,1,2851.86,11.22
1:0,32,3,1,2,3026.72,10.58
