2018-11-20 21:29:28 (1759372422177) INFO  - START: Middleware listening on address 10.0.0.11:8888.
2018-11-20 21:30:53 (1843947727238) STATS -  5.00, 647, 0, 0.414409, 3.773454, 4.887193, 3.646756, 0.000000, 6.127630, 812, 0, 2426, 0.00, 0.00, 6
2018-11-20 21:30:53 (1844272776144) STATS - SET, 4.9, 46
2018-11-20 21:30:53 (1844272887247) STATS - SET, 5.0, 49
2018-11-20 21:30:53 (1844273007349) STATS - SET, 5.1, 44
2018-11-20 21:30:53 (1844273122552) STATS - SET, 5.2, 55
2018-11-20 21:30:53 (1844273239554) STATS - SET, 5.3, 60
2018-11-20 21:30:53 (1844273353857) STATS - SET, 5.4, 68
2018-11-20 21:30:53 (1844273466859) STATS - SET, 5.5, 81
2018-11-20 21:30:53 (1844273580662) STATS - SET, 5.6, 102
2018-11-20 21:30:53 (1844273701065) STATS - SET, 5.7, 149
2018-11-20 21:30:53 (1844273815767) STATS - SET, 5.8, 138
2018-11-20 21:30:53 (1844273929070) STATS - SET, 5.9, 155
2018-11-20 21:30:53 (1844274046272) STATS - SET, 6.0, 141
2018-11-20 21:30:53 (1844274165075) STATS - SET, 6.1, 145
2018-11-20 21:30:53 (1844274396380) STATS - SET, 6.2, 140
2018-11-20 21:30:53 (1844274513283) STATS - SET, 6.3, 112
2018-11-20 21:30:53 (1844274661786) STATS - SET, 6.4, 131
2018-11-20 21:30:53 (1844274775788) STATS - SET, 6.5, 93
2018-11-20 21:30:53 (1844274886891) STATS - SET, 6.6, 99
2018-11-20 21:30:53 (1844274997393) STATS - SET, 6.7, 69
2018-11-20 21:30:53 (1844275132296) STATS - SET, 6.8, 79
2018-11-20 21:30:53 (1844275249299) STATS - SET, 6.9, 46
2018-11-20 21:30:53 (1844275363701) STATS - SET, 7.0, 51
2018-11-20 21:30:53 (1844275473104) STATS - SET, 7.1, 42
2018-11-20 21:30:53 (1844275581906) STATS - SET, 7.2, 42
2018-11-20 21:30:53 (1844275689409) STATS - SET, 7.3, 33
2018-11-20 21:30:53 (1844281386735) STATS - SET, 7.4, 36
2018-11-20 21:30:53 (1844281508338) STATS - SET, 7.5, 25
2018-11-20 21:30:53 (1844281666541) STATS - SET, 7.6, 24
2018-11-20 21:30:53 (1844281786944) STATS - SET, 7.7, 21
2018-11-20 21:30:53 (1844281897146) STATS - SET, 7.8, 15
2018-11-20 21:30:53 (1844282046350) STATS - SET, 7.9, 20
2018-11-20 21:30:53 (1844282184653) STATS - SET, 8.0, 13
2018-11-20 21:30:53 (1844282299455) STATS - SET, 8.1, 11
2018-11-20 21:30:53 (1844282408558) STATS - SET, 8.2, 10
2018-11-20 21:30:53 (1844282707464) STATS - SET, 8.3, 10
2018-11-20 21:30:53 (1844283394179) STATS - SET, 8.4, 8
2018-11-20 21:30:53 (1844283544883) STATS - SET, 8.5, 12
2018-11-20 21:30:53 (1844283728387) STATS - SET, 8.6, 11
2018-11-20 21:30:53 (1844283857990) STATS - SET, 8.7, 9
2018-11-20 21:30:53 (1844283971592) STATS - SET, 8.8, 13
2018-11-20 21:30:53 (1844284104295) STATS - SET, 8.9, 9
2018-11-20 21:30:53 (1844284223298) STATS - SET, 9.0, 5
2018-11-20 21:30:53 (1844284332300) STATS - SET, 9.1, 10
2018-11-20 21:30:53 (1844284452103) STATS - SET, 9.2, 16
2018-11-20 21:30:53 (1844284597306) STATS - SET, 9.3, 18
2018-11-20 21:30:53 (1844284716309) STATS - SET, 9.4, 13
2018-11-20 21:30:53 (1844284832911) STATS - SET, 9.5, 13
2018-11-20 21:30:53 (1844284946314) STATS - SET, 9.6, 20
2018-11-20 21:30:53 (1844285059016) STATS - SET, 9.7, 20
2018-11-20 21:30:53 (1844285395024) STATS - SET, 9.8, 12
2018-11-20 21:30:53 (1844285576728) STATS - SET, 9.9, 7
2018-11-20 21:30:53 (1844285717331) STATS - SET, 10.0, 8
2018-11-20 21:30:53 (1844285829933) STATS - SET, 10.1, 8
2018-11-20 21:30:53 (1844285936636) STATS - SET, 10.2, 5
2018-11-20 21:30:53 (1844292166774) STATS - SET, 10.3, 4
2018-11-20 21:30:53 (1844292380279) STATS - SET, 10.4, 7
2018-11-20 21:30:53 (1844292532882) STATS - SET, 10.5, 4
2018-11-20 21:30:53 (1844292636984) STATS - SET, 10.6, 4
2018-11-20 21:30:53 (1844292802888) STATS - SET, 10.7, 6
2018-11-20 21:30:53 (1844292929691) STATS - SET, 10.8, 3
2018-11-20 21:30:53 (1844293060094) STATS - SET, 10.9, 3
2018-11-20 21:30:53 (1844293196097) STATS - SET, 11.0, 2
2018-11-20 21:30:53 (1844293379901) STATS - SET, 11.1, 3
2018-11-20 21:30:53 (1844293518704) STATS - SET, 11.2, 4
2018-11-20 21:30:53 (1844293743609) STATS - SET, 11.3, 2
2018-11-20 21:30:53 (1844293849011) STATS - SET, 11.4, 4
2018-11-20 21:30:53 (1844293984114) STATS - SET, 11.5, 4
2018-11-20 21:30:53 (1844294150118) STATS - SET, 11.6, 7
2018-11-20 21:30:53 (1844294251620) STATS - SET, 11.7, 7
2018-11-20 21:30:53 (1844294349722) STATS - SET, 11.8, 3
2018-11-20 21:30:53 (1844294446124) STATS - SET, 11.9, 0
2018-11-20 21:30:53 (1844294542727) STATS - SET, 12.0, 4
2018-11-20 21:30:53 (1844294639929) STATS - SET, 12.1, 2
2018-11-20 21:30:53 (1844294736531) STATS - SET, 12.2, 3
2018-11-20 21:30:53 (1844294836433) STATS - SET, 12.3, 3
2018-11-20 21:30:53 (1844294933235) STATS - SET, 12.4, 6
2018-11-20 21:30:53 (1844295033538) STATS - SET, 12.5, 3
2018-11-20 21:30:53 (1844295130540) STATS - SET, 12.6, 2
2018-11-20 21:30:53 (1844295238242) STATS - SET, 12.7, 3
2018-11-20 21:30:53 (1844295342944) STATS - SET, 12.8, 1
2018-11-20 21:30:53 (1844295445947) STATS - SET, 12.9, 2
2018-11-20 21:30:53 (1844295539349) STATS - SET, 13.0, 0
2018-11-20 21:30:53 (1844295635451) STATS - SET, 13.1, 3
2018-11-20 21:30:53 (1844295735453) STATS - SET, 13.2, 0
2018-11-20 21:30:53 (1844295832755) STATS - SET, 13.3, 1
2018-11-20 21:30:53 (1844296076961) STATS - SET, 13.4, 2
2018-11-20 21:30:53 (1844301544782) STATS - SET, 13.5, 3
2018-11-20 21:30:53 (1844301650984) STATS - SET, 13.6, 0
2018-11-20 21:30:53 (1844301748886) STATS - SET, 13.7, 1
2018-11-20 21:30:53 (1844301844789) STATS - SET, 13.8, 4
2018-11-20 21:30:53 (1844301940491) STATS - SET, 13.9, 1
2018-11-20 21:30:53 (1844302033193) STATS - SET, 14.0, 1
2018-11-20 21:30:53 (1844302129495) STATS - SET, 14.1, 0
2018-11-20 21:30:53 (1844302225697) STATS - SET, 14.2, 1
2018-11-20 21:30:53 (1844302321399) STATS - SET, 14.3, 0
2018-11-20 21:30:53 (1844302416001) STATS - SET, 14.4, 0
2018-11-20 21:30:53 (1844302511703) STATS - SET, 14.5, 1
2018-11-20 21:30:53 (1844302656107) STATS - SET, 14.6, 0
