ratio,WTS,VCs,run,client,instance,Throughput (ops/s),ResponseTime (ms),Get MissRatio
0:1,16,1,3,2,1,362.48,2.75,0.00
0:1,16,1,3,2,2,382.42,2.61,0.00
0:1,16,1,3,3,1,418.46,2.38,0.00
0:1,16,1,3,3,2,442.08,2.25,0.00
0:1,16,4,1,1,1,519.00,7.73,0.00
0:1,16,4,1,1,2,472.84,8.47,0.00
0:1,16,4,1,2,1,521.82,7.69,0.00
0:1,16,4,1,2,2,486.06,8.26,0.00
0:1,16,4,1,3,1,483.10,8.44,0.00
0:1,16,4,1,3,2,442.92,9.37,0.00
0:1,16,4,2,1,1,490.98,8.13,0.00
0:1,16,4,2,1,2,451.96,8.83,0.00
0:1,16,4,2,2,1,507.20,7.87,0.00
0:1,16,4,2,2,2,468.18,8.53,0.00
0:1,16,4,2,3,1,517.32,7.72,0.00
0:1,16,4,2,3,2,490.60,8.14,0.00
0:1,16,4,3,1,1,481.48,8.29,0.00
0:1,16,4,3,1,2,464.04,8.60,0.00
0:1,16,4,3,2,1,482.56,8.28,0.00
0:1,16,4,3,2,2,475.10,8.40,0.00
0:1,16,4,3,3,1,529.86,7.54,0.00
0:1,16,4,3,3,2,495.98,8.05,0.00
0:1,16,8,1,1,1,469.52,17.00,0.00
0:1,16,8,1,1,2,497.62,16.04,0.00
0:1,16,8,1,2,1,477.90,16.70,0.00
0:1,16,8,1,2,2,502.78,15.88,0.00
0:1,16,8,1,3,1,479.98,16.63,0.00
0:1,16,8,1,3,2,499.92,15.97,0.00
0:1,16,8,2,1,1,473.38,16.86,0.00
0:1,16,8,2,1,2,492.90,16.19,0.00
0:1,16,8,2,2,1,476.32,16.76,0.00
0:1,16,8,2,2,2,495.02,16.13,0.00
0:1,16,8,2,3,1,489.46,16.31,0.00
0:1,16,8,2,3,2,500.66,15.94,0.00
0:1,16,8,3,1,1,490.52,16.45,0.00
0:1,16,8,3,1,2,474.96,18.03,0.00
0:1,16,8,3,2,1,496.76,16.30,0.00
0:1,16,8,3,2,2,478.32,18.49,0.00
0:1,16,8,3,3,1,509.24,15.92,0.00
0:1,16,8,3,3,2,480.88,19.45,0.00
0:1,16,16,1,1,1,420.12,38.01,0.00
0:1,16,16,1,1,2,539.98,29.59,0.00
0:1,16,16,1,2,1,428.32,37.29,0.00
0:1,16,16,1,2,2,546.56,29.23,0.00
0:1,16,16,1,3,1,433.34,36.86,0.00
0:1,16,16,1,3,2,560.46,28.50,0.00
0:1,16,16,2,1,1,469.22,34.36,0.00
0:1,16,16,2,1,2,568.42,28.37,0.00
0:1,16,16,2,2,1,370.34,48.63,0.00
0:1,16,16,2,2,2,441.96,41.24,0.00
0:1,16,16,2,3,1,489.16,33.02,0.00
0:1,16,16,2,3,2,588.88,27.42,0.00
0:1,16,16,3,1,1,407.52,39.18,0.00
0:1,16,16,3,1,2,550.18,29.04,0.00
0:1,16,16,3,2,1,414.98,38.47,0.00
0:1,16,16,3,2,2,563.76,28.34,0.00
0:1,16,16,3,3,1,421.72,37.86,0.00
0:1,16,16,3,3,2,571.96,27.93,0.00
0:1,16,32,1,1,1,426.36,74.97,0.00
0:1,16,32,1,1,2,545.14,58.62,0.00
0:1,16,32,1,2,1,428.58,74.57,0.00
0:1,16,32,1,2,2,544.44,58.69,0.00
0:1,16,32,1,3,1,432.08,74.00,0.00
0:1,16,32,1,3,2,553.14,57.80,0.00
0:1,16,32,2,1,1,424.26,75.29,0.00
0:1,16,32,2,1,2,546.32,58.49,0.00
0:1,16,32,2,2,1,427.18,74.78,0.00
0:1,16,32,2,2,2,552.26,57.87,0.00
0:1,16,32,2,3,1,428.04,74.60,0.00
0:1,16,32,2,3,2,550.68,58.02,0.00
0:1,16,32,3,1,1,398.92,80.06,0.00
0:1,16,32,3,1,2,574.42,55.63,0.00
0:1,16,32,3,2,1,397.60,80.32,0.00
0:1,16,32,3,2,2,578.14,55.26,0.00
0:1,16,32,3,3,1,401.64,79.51,0.00
0:1,16,32,3,3,2,577.60,55.30,0.00
0:1,16,64,1,1,1,427.78,149.33,0.00
0:1,16,64,1,1,2,546.36,116.93,0.00
0:1,16,64,1,2,1,428.26,149.11,0.00
0:1,16,64,1,2,2,547.62,116.67,0.00
0:1,16,64,1,3,1,429.10,148.87,0.00
0:1,16,64,1,3,2,547.90,116.62,0.00
0:1,16,64,2,1,1,443.84,144.01,0.00
0:1,16,64,2,1,2,532.36,120.09,0.00
0:1,16,64,2,2,1,445.58,143.46,0.00
0:1,16,64,2,2,2,535.36,119.41,0.00
0:1,16,64,2,3,1,442.86,144.67,0.00
0:1,16,64,2,3,2,532.14,120.53,0.00
0:1,16,64,3,1,1,421.78,151.50,0.00
0:1,16,64,3,1,2,554.24,115.34,0.00
0:1,16,64,3,2,1,422.02,151.41,0.00
0:1,16,64,3,2,2,554.18,115.34,0.00
0:1,16,64,3,3,1,422.92,151.12,0.00
0:1,16,64,3,3,2,556.60,114.84,0.00
0:1,32,1,1,1,1,434.52,2.29,0.00
0:1,32,1,1,1,2,320.02,3.11,0.00
0:1,32,1,1,2,1,399.32,2.51,0.00
0:1,32,1,1,2,2,312.36,3.19,0.00
0:1,32,1,1,3,1,466.60,2.14,0.00
0:1,32,1,1,3,2,355.16,2.80,0.00
0:1,32,1,2,1,1,449.80,2.21,0.00
0:1,32,1,2,1,2,328.22,3.03,0.00
0:1,32,1,2,2,1,437.98,2.28,0.00
0:1,32,1,2,2,2,332.28,3.00,0.00
0:1,32,1,2,3,1,502.50,1.98,0.00
0:1,32,1,2,3,2,375.54,2.65,0.00
0:1,32,1,3,1,1,471.88,2.11,0.00
0:1,32,1,3,1,2,370.62,2.69,0.00
0:1,32,1,3,2,1,438.36,2.28,0.00
0:1,32,1,3,2,2,354.00,2.82,0.00
0:1,32,1,3,3,1,500.16,1.99,0.00
0:1,32,1,3,3,2,397.82,2.50,0.00
0:1,32,4,1,1,1,511.24,7.81,0.00
0:1,32,4,1,1,2,438.90,9.10,0.00
0:1,32,4,1,2,1,527.86,7.57,0.00
0:1,32,4,1,2,2,439.68,9.09,0.00
0:1,32,4,1,3,1,541.22,7.38,0.00
0:1,32,4,1,3,2,473.10,8.45,0.00
0:1,32,4,2,1,1,486.00,8.21,0.00
0:1,32,4,2,1,2,450.60,8.86,0.00
0:1,32,4,2,2,1,486.80,8.21,0.00
0:1,32,4,2,2,2,458.16,8.72,0.00
0:1,32,4,2,3,1,536.52,7.44,0.00
0:1,32,4,2,3,2,508.06,7.86,0.00
0:1,32,4,3,1,1,486.20,8.22,0.00
0:1,32,4,3,1,2,465.26,8.58,0.00
0:1,32,4,3,2,1,499.76,8.00,0.00
0:1,32,4,3,2,2,483.20,8.27,0.00
0:1,32,4,3,3,1,508.42,7.86,0.00
