ratio,WTS,VCs,run,client,instance,Throughput (ops/s),ResponseTime (ms),Get MissRatio
1:0,8,64,1,3,1,1487.38,43.89,0.00
1:0,8,64,1,3,2,1635.28,47.35,0.00
1:0,8,64,2,1,1,1475.86,43.41,0.00
1:0,8,64,2,1,2,1752.90,36.59,0.00
1:0,8,64,2,2,1,1476.54,43.38,0.00
1:0,8,64,2,2,2,1743.94,36.78,0.00
1:0,8,64,2,3,1,1463.92,43.77,0.00
1:0,8,64,2,3,2,1745.08,36.79,0.00
1:0,8,64,3,1,1,1483.16,43.19,0.00
1:0,8,64,3,1,2,1759.86,36.39,0.00
1:0,8,64,3,2,1,1479.52,43.29,0.00
1:0,8,64,3,2,2,1771.28,36.17,0.00
1:0,8,64,3,3,1,1489.26,43.01,0.00
1:0,8,64,3,3,2,1781.98,35.94,0.00
1:0,16,1,1,1,1,475.14,2.11,0.00
1:0,16,1,1,1,2,372.20,2.68,0.00
1:0,16,1,1,2,1,444.56,2.24,0.00
1:0,16,1,1,2,2,363.98,2.75,0.00
1:0,16,1,1,3,1,476.00,2.10,0.00
1:0,16,1,1,3,2,382.48,2.61,0.00
1:0,16,1,2,1,1,389.30,2.56,0.00
1:0,16,1,2,1,2,336.28,2.97,0.00
1:0,16,1,2,2,1,381.80,2.61,0.00
1:0,16,1,2,2,2,327.32,3.05,0.00
1:0,16,1,2,3,1,393.88,2.63,0.00
1:0,16,1,2,3,2,336.90,3.09,0.00
1:0,16,1,3,1,1,424.78,2.35,0.00
1:0,16,1,3,1,2,268.50,5.40,0.00
1:0,16,1,3,2,1,310.08,5.33,0.00
1:0,16,1,3,2,2,202.94,10.81,0.00
1:0,16,1,3,3,1,445.52,2.24,0.00
1:0,16,1,3,3,2,295.04,6.42,0.00
1:0,16,4,1,1,1,1303.78,3.07,0.00
1:0,16,4,1,1,2,1133.16,3.54,0.00
1:0,16,4,1,2,1,1248.66,3.20,0.00
1:0,16,4,1,2,2,1116.58,3.58,0.00
1:0,16,4,1,3,1,1322.90,3.07,0.00
1:0,16,4,1,3,2,1183.22,3.47,0.00
1:0,16,4,2,1,1,1325.78,3.01,0.00
1:0,16,4,2,1,2,1139.34,3.51,0.00
1:0,16,4,2,2,1,1263.86,3.16,0.00
1:0,16,4,2,2,2,1138.74,3.51,0.00
1:0,16,4,2,3,1,1400.88,2.85,0.00
1:0,16,4,2,3,2,1258.08,3.18,0.00
1:0,16,4,3,1,1,1290.16,3.10,0.00
1:0,16,4,3,1,2,1018.86,4.77,0.00
1:0,16,4,3,2,1,1324.08,3.02,0.00
1:0,16,4,3,2,2,1075.26,5.45,0.00
1:0,16,4,3,3,1,1390.76,2.87,0.00
1:0,16,4,3,3,2,1143.94,5.78,0.00
1:0,16,8,1,1,1,1616.30,4.97,0.00
1:0,16,8,1,1,2,1551.18,5.16,0.00
1:0,16,8,1,2,1,1704.40,4.70,0.00
1:0,16,8,1,2,2,1633.06,4.90,0.00
1:0,16,8,1,3,1,1621.42,5.00,0.00
1:0,16,8,1,3,2,1684.08,4.78,0.00
1:0,16,8,2,1,1,1713.32,4.70,0.00
1:0,16,8,2,1,2,1546.10,5.24,0.00
1:0,16,8,2,2,1,1749.60,4.59,0.00
1:0,16,8,2,2,2,1606.56,5.14,0.00
1:0,16,8,2,3,1,1603.32,5.23,0.00
1:0,16,8,2,3,2,1500.66,6.11,0.00
1:0,16,8,3,1,1,1640.68,4.87,0.00
1:0,16,8,3,1,2,1540.12,5.20,0.00
1:0,16,8,3,2,1,1650.48,4.85,0.00
1:0,16,8,3,2,2,1624.52,4.93,0.00
1:0,16,8,3,3,1,1798.90,4.45,0.00
1:0,16,8,3,3,2,1706.98,4.69,0.00
1:0,16,16,1,1,1,1871.62,8.55,0.00
1:0,16,16,1,1,2,2010.78,7.96,0.00
1:0,16,16,1,2,1,1898.74,8.43,0.00
1:0,16,16,1,2,2,2054.36,7.80,0.00
1:0,16,16,1,3,1,1900.68,8.52,0.00
1:0,16,16,1,3,2,2055.74,8.00,0.00
1:0,16,16,2,1,1,1965.00,8.43,0.00
1:0,16,16,2,1,2,1870.16,9.67,0.00
1:0,16,16,2,2,1,1946.78,8.70,0.00
1:0,16,16,2,2,2,1853.26,9.53,0.00
1:0,16,16,2,3,1,1663.86,10.21,0.00
1:0,16,16,2,3,2,1594.06,12.08,0.00
1:0,16,16,3,1,1,1813.58,8.82,0.00
1:0,16,16,3,1,2,1939.50,8.25,0.00
1:0,16,16,3,2,1,1837.32,8.71,0.00
1:0,16,16,3,2,2,1982.16,8.07,0.00
1:0,16,16,3,3,1,1889.30,8.47,0.00
1:0,16,16,3,3,2,2046.02,7.82,0.00
1:0,16,32,1,1,1,1900.44,16.87,0.00
1:0,16,32,1,1,2,2476.18,12.94,0.00
1:0,16,32,1,2,1,1897.06,16.90,0.00
1:0,16,32,1,2,2,2479.40,12.92,0.00
1:0,16,32,1,3,1,1818.00,17.95,0.00
1:0,16,32,1,3,2,2383.82,13.80,0.00
1:0,16,32,2,1,1,2025.54,15.80,0.00
1:0,16,32,2,1,2,2354.92,13.59,0.00
1:0,16,32,2,2,1,2020.92,15.84,0.00
1:0,16,32,2,2,2,2358.12,13.57,0.00
1:0,16,32,2,3,1,2023.40,15.82,0.00
1:0,16,32,2,3,2,2344.20,13.66,0.00
1:0,16,32,3,1,1,1950.94,16.40,0.00
1:0,16,32,3,1,2,2408.26,13.29,0.00
1:0,16,32,3,2,1,1956.02,16.37,0.00
1:0,16,32,3,2,2,2413.52,13.26,0.00
1:0,16,32,3,3,1,1969.40,16.25,0.00
1:0,16,32,3,3,2,2431.36,13.16,0.00
1:0,16,64,1,1,1,1948.44,32.84,0.00
1:0,16,64,1,1,2,2415.74,26.51,0.00
1:0,16,64,1,2,1,1944.22,32.92,0.00
1:0,16,64,1,2,2,2408.78,26.59,0.00
1:0,16,64,1,3,1,1956.74,32.71,0.00
1:0,16,64,1,3,2,2422.96,26.43,0.00
1:0,16,64,2,1,1,1999.72,32.00,0.00
1:0,16,64,2,1,2,2430.86,26.35,0.00
1:0,16,64,2,2,1,1993.34,32.11,0.00
1:0,16,64,2,2,2,2418.86,26.48,0.00
1:0,16,64,2,3,1,1997.76,32.04,0.00
1:0,16,64,2,3,2,2424.74,26.42,0.00
1:0,16,64,3,1,1,1960.64,32.66,0.00
1:0,16,64,3,1,2,2381.38,26.88,0.00
1:0,16,64,3,2,1,1955.54,32.75,0.00
1:0,16,64,3,2,2,2374.62,26.96,0.00
1:0,16,64,3,3,1,1964.14,32.61,0.00
1:0,16,64,3,3,2,2381.96,26.88,0.00
1:0,32,1,1,1,1,461.30,2.17,0.00
1:0,32,1,1,1,2,354.60,3.37,0.00
1:0,32,1,1,2,1,434.18,2.31,0.00
1:0,32,1,1,2,2,336.96,3.19,0.00
1:0,32,1,1,3,1,468.26,2.14,0.00
1:0,32,1,1,3,2,364.28,2.83,0.00
1:0,32,1,2,1,1,464.46,2.15,0.00
1:0,32,1,2,1,2,364.50,2.73,0.00
1:0,32,1,2,2,1,448.78,2.22,0.00
1:0,32,1,2,2,2,364.72,2.74,0.00
1:0,32,1,2,3,1,487.92,2.05,0.00
1:0,32,1,2,3,2,395.90,2.52,0.00
1:0,32,1,3,1,1,456.16,2.18,0.00
1:0,32,1,3,1,2,303.58,3.28,0.00
1:0,32,1,3,2,1,426.40,2.34,0.00
1:0,32,1,3,2,2,299.58,3.33,0.00
1:0,32,1,3,3,1,497.68,2.00,0.00
1:0,32,1,3,3,2,331.50,3.01,0.00
1:0,32,4,1,1,1,1352.10,2.96,0.00
1:0,32,4,1,1,2,1090.94,3.66,0.00
1:0,32,4,1,2,1,1337.22,2.99,0.00
1:0,32,4,1,2,2,1122.68,3.56,0.00
1:0,32,4,1,3,1,1336.94,2.99,0.00
1:0,32,4,1,3,2,1134.96,3.53,0.00
1:0,32,4,2,1,1,1319.34,3.03,0.00
1:0,32,4,2,1,2,1121.60,3.56,0.00
1:0,32,4,2,2,1,1244.60,3.21,0.00
1:0,32,4,2,2,2,1089.98,3.67,0.00
1:0,32,4,2,3,1,1423.22,2.81,0.00
1:0,32,4,2,3,2,1255.32,3.18,0.00
1:0,32,4,3,1,1,1270.58,3.15,0.00
1:0,32,4,3,1,2,1160.90,3.44,0.00
1:0,32,4,3,2,1,1190.46,3.36,0.00
1:0,32,4,3,2,2,1183.18,3.38,0.00
1:0,32,4,3,3,1,1403.88,2.85,0.00
1:0,32,4,3,3,2,1220.28,3.28,0.00
1:0,32,8,1,1,1,1637.00,4.89,0.00
1:0,32,8,1,1,2,1570.52,5.09,0.00
1:0,32,8,1,2,1,1600.24,5.01,0.00
1:0,32,8,1,2,2,1631.28,4.91,0.00
1:0,32,8,1,3,1,1722.56,4.65,0.00
1:0,32,8,1,3,2,1717.98,4.66,0.00
1:0,32,8,2,1,1,1727.16,4.64,0.00
1:0,32,8,2,1,2,1629.60,4.91,0.00
1:0,32,8,2,2,1,1731.28,4.63,0.00
1:0,32,8,2,2,2,1668.02,4.80,0.00
1:0,32,8,2,3,1,1846.62,4.34,0.00
1:0,32,8,2,3,2,1777.10,4.50,0.00
1:0,32,8,3,1,1,1653.02,4.84,0.00
1:0,32,8,3,1,2,1569.02,5.10,0.00
1:0,32,8,3,2,1,1663.72,4.82,0.00
1:0,32,8,3,2,2,1623.02,4.93,0.00
1:0,32,8,3,3,1,1741.02,4.60,0.00
1:0,32,8,3,3,2,1749.90,4.57,0.00
1:0,32,16,1,1,1,2024.70,7.92,0.00
1:0,32,16,1,1,2,2010.26,8.36,0.00
1:0,32,16,1,2,1,2049.42,7.83,0.00
1:0,32,16,1,2,2,2114.66,7.87,0.00
1:0,32,16,1,3,1,2143.74,7.48,0.00
1:0,32,16,1,3,2,2119.68,7.84,0.00
1:0,32,16,2,1,1,2094.92,7.64,0.00
1:0,32,16,2,1,2,2114.76,7.57,0.00
1:0,32,16,2,2,1,2088.78,7.66,0.00
1:0,32,16,2,2,2,2178.92,7.34,0.00
1:0,32,16,2,3,1,2206.02,7.26,0.00
1:0,32,16,2,3,2,2210.76,7.24,0.00
1:0,32,16,3,1,1,2021.46,7.92,0.00
1:0,32,16,3,1,2,2076.54,7.70,0.00
1:0,32,16,3,2,1,2027.04,7.90,0.00
1:0,32,16,3,2,2,2143.02,7.47,0.00
1:0,32,16,3,3,1,2144.04,7.47,0.00
1:0,32,16,3,3,2,2185.04,7.32,0.00
1:0,32,32,1,1,1,2392.20,13.38,0.00
1:0,32,32,1,1,2,2775.94,11.53,0.00
1:0,32,32,1,2,1,2409.82,13.28,0.00
1:0,32,32,1,2,2,2821.12,11.35,0.00
1:0,32,32,1,3,1,2439.86,13.12,0.00
1:0,32,32,1,3,2,2850.62,11.23,0.00
1:0,32,32,2,1,1,2333.48,13.83,0.00
1:0,32,32,2,1,2,2649.82,12.21,0.00
1:0,32,32,2,2,1,2362.04,13.80,0.00
1:0,32,32,2,2,2,2701.36,12.08,0.00
1:0,32,32,2,3,1,2405.32,13.55,0.00
1:0,32,32,2,3,2,2743.52,11.89,0.00
1:0,32,32,3,1,1,2423.32,13.21,0.00
1:0,32,32,3,1,2,2730.70,11.72,0.00
1:0,32,32,3,2,1,2444.76,13.09,0.00
1:0,32,32,3,2,2,2768.72,11.56,0.00
1:0,32,32,3,3,1,2463.56,12.99,0.00
1:0,32,32,3,3,2,2781.36,11.51,0.00
1:0,32,64,1,1,1,2426.84,26.38,0.00
1:0,32,64,1,1,2,2830.06,22.62,0.00
1:0,32,64,1,2,1,2445.76,26.17,0.00
1:0,32,64,1,2,2,2848.32,22.47,0.00
1:0,32,64,1,3,1,2450.46,26.12,0.00
1:0,32,64,1,3,2,2892.28,22.13,0.00
1:0,32,64,2,1,1,2409.82,26.62,0.00
1:0,32,64,2,1,2,2861.08,22.52,0.00
1:0,32,64,2,2,1,2424.06,26.56,0.00
1:0,32,64,2,2,2,2874.98,22.42,0.00
1:0,32,64,2,3,1,2426.32,26.59,0.00
1:0,32,64,2,3,2,2894.76,22.37,0.00
1:0,32,64,3,1,1,2393.66,26.75,0.00
1:0,32,64,3,1,2,2869.64,22.31,0.00
1:0,32,64,3,2,1,2412.38,26.54,0.00
1:0,32,64,3,2,2,2919.78,21.93,0.00
1:0,32,64,3,3,1,2444.48,26.19,0.00
1:0,32,64,3,3,2,2921.64,21.92,0.00
1:0,64,1,1,1,1,460.56,2.18,0.00
1:0,64,1,1,1,2,351.42,2.84,0.00
1:0,64,1,1,2,1,391.00,2.56,0.00
1:0,64,1,1,2,2,302.00,3.30,0.00
1:0,64,1,1,3,1,436.82,2.29,0.00
1:0,64,1,1,3,2,336.38,2.96,0.00
1:0,64,1,2,1,1,427.64,2.33,0.00
1:0,64,1,2,1,2,375.02,2.66,0.00
1:0,64,1,2,2,1,402.80,2.48,0.00
1:0,64,1,2,2,2,355.50,2.81,0.00
1:0,64,1,2,3,1,444.48,2.24,0.00
1:0,64,1,2,3,2,398.24,2.51,0.00
1:0,64,1,3,1,1,425.52,2.34,0.00
1:0,64,1,3,1,2,324.78,3.07,0.00
1:0,64,1,3,2,1,400.32,2.50,0.00
1:0,64,1,3,2,2,314.42,3.18,0.00
1:0,64,1,3,3,1,442.42,2.25,0.00
1:0,64,1,3,3,2,360.90,2.76,0.00
1:0,64,4,1,1,1,1329.76,3.01,0.00
1:0,64,4,1,1,2,1208.76,3.31,0.00
1:0,64,4,1,2,1,1205.54,3.32,0.00
1:0,64,4,1,2,2,1149.40,3.48,0.00
1:0,64,4,1,3,1,1329.54,3.01,0.00
1:0,64,4,1,3,2,1196.62,3.34,0.00
1:0,64,4,2,1,1,1370.54,2.92,0.00
1:0,64,4,2,1,2,1142.58,3.50,0.00
1:0,64,4,2,2,1,1313.78,3.04,0.00
1:0,64,4,2,2,2,1135.42,3.52,0.00
1:0,64,4,2,3,1,1363.68,3.03,0.00
1:0,64,4,2,3,2,1175.78,3.50,0.00
1:0,64,4,3,1,1,1219.84,3.28,0.00
1:0,64,4,3,1,2,1137.08,3.52,0.00
1:0,64,4,3,2,1,1202.62,3.33,0.00
1:0,64,4,3,2,2,1124.64,3.56,0.00
1:0,64,4,3,3,1,1346.28,2.97,0.00
1:0,64,4,3,3,2,1284.00,3.11,0.00
1:0,64,8,1,1,1,1595.76,5.01,0.00
1:0,64,8,1,1,2,1627.72,4.91,0.00
1:0,64,8,1,2,1,1572.72,5.09,0.00
1:0,64,8,1,2,2,1611.16,4.97,0.00
1:0,64,8,1,3,1,1677.58,4.77,0.00
1:0,64,8,1,3,2,1762.86,4.54,0.00
1:0,64,8,2,1,1,1728.44,4.64,0.00
1:0,64,8,2,1,2,1626.58,4.96,0.00
1:0,64,8,2,2,1,1746.76,4.60,0.00
1:0,64,8,2,2,2,1585.34,5.08,0.00
1:0,64,8,2,3,1,1740.04,4.74,0.00
1:0,64,8,2,3,2,1645.52,5.11,0.00
1:0,64,8,3,1,1,1695.10,4.75,0.00
1:0,64,8,3,1,2,1639.64,4.90,0.00
1:0,64,8,3,2,1,1688.42,4.76,0.00
1:0,64,8,3,2,2,1680.94,4.78,0.00
1:0,64,8,3,3,1,1518.88,5.51,0.00
1:0,64,8,3,3,2,1517.76,5.58,0.00
1:0,64,16,1,1,1,1959.80,8.17,0.00
1:0,64,16,1,1,2,2162.60,7.40,0.00
1:0,64,16,1,2,1,1911.88,8.38,0.00
1:0,64,16,1,2,2,2243.04,7.13,0.00
1:0,64,16,1,3,1,2059.70,7.77,0.00
1:0,64,16,1,3,2,2198.16,7.28,0.00
1:0,64,16,2,1,1,2070.24,7.73,0.00
1:0,64,16,2,1,2,2058.76,7.77,0.00
1:0,64,16,2,2,1,2026.90,7.90,0.00
1:0,64,16,2,2,2,2027.62,7.89,0.00
1:0,64,16,2,3,1,2213.78,7.23,0.00
1:0,64,16,2,3,2,2211.60,7.23,0.00
1:0,64,16,3,1,1,2041.98,7.84,0.00
1:0,64,16,3,1,2,2141.38,7.47,0.00
1:0,64,16,3,2,1,2102.52,7.61,0.00
1:0,64,16,3,2,2,2099.50,7.62,0.00
1:0,64,16,3,3,1,2081.26,7.69,0.00
1:0,64,16,3,3,2,2295.72,6.97,0.00
1:0,64,32,1,1,1,2764.14,11.58,0.00
1:0,64,32,1,1,2,2916.02,10.97,0.00
1:0,64,32,1,2,1,2740.68,11.68,0.00
1:0,64,32,1,2,2,2916.50,10.97,0.00
1:0,64,32,1,3,1,2766.22,11.57,0.00
1:0,64,32,1,3,2,2945.32,10.87,0.00
1:0,64,32,2,1,1,2758.70,11.60,0.00
1:0,64,32,2,1,2,2864.36,11.17,0.00
1:0,64,32,2,2,1,2753.88,11.62,0.00
1:0,64,32,2,2,2,2857.08,11.20,0.00
1:0,64,32,2,3,1,2796.70,11.45,0.00
1:0,64,32,2,3,2,2936.38,10.90,0.00
1:0,64,32,3,1,1,2761.74,11.59,0.00
1:0,64,32,3,1,2,2799.64,11.43,0.00
1:0,64,32,3,2,1,2752.36,11.63,0.00
1:0,64,32,3,2,2,2799.32,11.43,0.00
1:0,64,32,3,3,1,2791.88,11.47,0.00
1:0,64,32,3,3,2,2828.76,11.32,0.00
1:0,64,64,1,1,1,2516.42,26.78,0.00
1:0,64,64,1,1,2,2932.70,23.36,0.00
1:0,64,64,1,2,1,2484.32,26.91,0.00
1:0,64,64,1,2,2,2908.60,23.40,0.00
1:0,64,64,1,3,1,2437.28,27.90,0.00
1:0,64,64,1,3,2,2886.10,24.08,0.00
1:0,64,64,2,1,1,2774.74,23.07,0.00
1:0,64,64,2,1,2,3093.30,20.69,0.00
1:0,64,64,2,2,1,2745.82,23.32,0.00
1:0,64,64,2,2,2,3119.44,20.52,0.00
1:0,64,64,2,3,1,2722.82,23.51,0.00
1:0,64,64,2,3,2,3133.32,20.43,0.00
1:0,64,64,3,1,1,2836.14,22.58,0.00
1:0,64,64,3,1,2,3059.70,20.93,0.00
1:0,64,64,3,2,1,2813.20,22.76,0.00
1:0,64,64,3,2,2,3043.94,21.03,0.00
1:0,64,64,3,3,1,2760.86,23.19,0.00
1:0,64,64,3,3,2,3103.74,20.63,0.00
