Elapsed Time, AVG Throughput, AVG Queue Size, AVG Waiting Time, AVG Service Time, AVG Response Time, AVG SET Response Time, AVG GET Response Time, AVG MULTI-GET Response Time, #SETS, #GETS, #MULTIGETS, GET MissRatio, MULTI-GET MissRatio, AVG MULTI-GET Size
 5.00, 1388, 22, 20.980075, 41.970722, 63.331394, 0.000000, 63.331394, 0.000000, 0, 6940, 0, 0.00, 0.00, 0
10.00, 1427, 22, 19.266618, 44.664347, 64.035046, 0.000000, 64.035046, 0.000000, 0, 7139, 0, 0.00, 0.00, 0
15.00, 1432, 22, 19.529409, 44.506429, 64.127236, 0.000000, 64.127236, 0.000000, 0, 7163, 0, 0.00, 0.00, 0
20.00, 1447, 22, 19.007217, 44.024067, 63.136164, 0.000000, 63.136164, 0.000000, 0, 7238, 0, 0.00, 0.00, 0
25.00, 1395, 22, 19.778033, 45.836932, 65.744694, 0.000000, 65.744694, 0.000000, 0, 6978, 0, 0.00, 0.00, 0
30.00, 1401, 23, 19.519535, 45.366610, 64.976206, 0.000000, 64.976206, 0.000000, 0, 7008, 0, 0.00, 0.00, 0
35.00, 1446, 22, 18.992135, 43.933778, 63.032894, 0.000000, 63.032894, 0.000000, 0, 7233, 0, 0.00, 0.00, 0
40.00, 1426, 22, 19.270909, 44.685626, 64.053212, 0.000000, 64.053212, 0.000000, 0, 7133, 0, 0.00, 0.00, 0
45.00, 1473, 22, 18.560586, 43.572288, 62.243915, 0.000000, 62.243915, 0.000000, 0, 7369, 0, 0.00, 0.00, 0
50.00, 1381, 23, 19.937310, 45.868959, 65.896273, 0.000000, 65.896273, 0.000000, 0, 6905, 0, 0.00, 0.00, 0
55.00, 1424, 22, 19.415294, 45.204335, 64.726586, 0.000000, 64.726586, 0.000000, 0, 7120, 0, 0.00, 0.00, 0
60.00, 1440, 22, 19.013227, 44.171812, 63.296739, 0.000000, 63.296739, 0.000000, 0, 7204, 0, 0.00, 0.00, 0
65.00, 1380, 22, 20.088388, 46.178785, 66.341245, 0.000000, 66.341245, 0.000000, 0, 6901, 0, 0.00, 0.00, 0
70.00, 1420, 22, 19.393319, 45.048806, 64.577856, 0.000000, 64.577856, 0.000000, 0, 7101, 0, 0.00, 0.00, 0
70.00, 42, 4, 10.136575, 41.157092, 51.424339, 0.000000, 51.424339, 0.000000, 0, 214, 0, 0.00, 0.00, 0
Type, Interval, Responses
GET, 0.1, 0
GET, 0.2, 0
GET, 0.3, 0
GET, 0.4, 0
GET, 0.5, 0
GET, 0.6, 0
GET, 0.7, 0
GET, 0.8, 0
GET, 0.9, 0
GET, 1.0, 0
GET, 1.1, 0
GET, 1.2, 0
GET, 1.3, 0
GET, 1.4, 0
GET, 1.5, 0
GET, 1.6, 0
GET, 1.7, 3
GET, 1.8, 0
GET, 1.9, 0
GET, 2.0, 1
GET, 2.1, 1
GET, 2.2, 0
GET, 2.3, 1
GET, 2.4, 0
GET, 2.5, 0
GET, 2.6, 3
GET, 2.7, 1
GET, 2.8, 2
GET, 2.9, 2
GET, 3.0, 0
GET, 3.1, 2
GET, 3.2, 1
GET, 3.3, 0
GET, 3.4, 1
GET, 3.5, 0
GET, 3.6, 3
GET, 3.7, 0
GET, 3.8, 1
GET, 3.9, 2
GET, 4.0, 3
GET, 4.1, 1
GET, 4.2, 0
GET, 4.3, 1
GET, 4.4, 2
GET, 4.5, 3
GET, 4.6, 1
GET, 4.7, 4
GET, 4.8, 1
GET, 4.9, 3
GET, 5.0, 1
GET, 5.1, 1
GET, 5.2, 1
GET, 5.3, 1
GET, 5.4, 1
GET, 5.5, 2
GET, 5.6, 4
GET, 5.7, 1
GET, 5.8, 2
GET, 5.9, 3
GET, 6.0, 2
GET, 6.1, 0
GET, 6.2, 0
GET, 6.3, 3
GET, 6.4, 3
GET, 6.5, 1
GET, 6.6, 0
GET, 6.7, 0
GET, 6.8, 5
GET, 6.9, 0
GET, 7.0, 1
GET, 7.1, 2
GET, 7.2, 3
GET, 7.3, 2
GET, 7.4, 2
GET, 7.5, 1
GET, 7.6, 2
GET, 7.7, 1
GET, 7.8, 1
GET, 7.9, 0
GET, 8.0, 2
GET, 8.1, 4
GET, 8.2, 1
GET, 8.3, 4
GET, 8.4, 4
GET, 8.5, 3
GET, 8.6, 4
GET, 8.7, 5
GET, 8.8, 3
GET, 8.9, 2
GET, 9.0, 3
GET, 9.1, 3
GET, 9.2, 4
GET, 9.3, 4
GET, 9.4, 3
GET, 9.5, 4
GET, 9.6, 4
GET, 9.7, 3
GET, 9.8, 6
GET, 9.9, 6
GET, 10.0, 3
GET, 10.1, 6
GET, 10.2, 5
GET, 10.3, 6
GET, 10.4, 9
GET, 10.5, 10
GET, 10.6, 8
GET, 10.7, 7
GET, 10.8, 10
GET, 10.9, 8
