2018-11-20 14:30:27 (2503803444590) INFO  - START: Middleware listening on address 10.0.0.11:8888.
2018-11-20 14:31:52 (2588523984264) STATS -  5.00, 1378, 54, 42.610227, 21.821578, 64.718255, 0.000000, 64.718255, 0.000000, 0, 6890, 0, 0.00, 0.00, 0
2018-11-20 14:31:52 (2588641606678) STATS - 10.00, 1377, 54, 43.664594, 23.164375, 66.890473, 0.000000, 66.890473, 0.000000, 0, 6887, 0, 0.00, 0.00, 0
2018-11-20 14:31:52 (2588730818788) STATS - 15.00, 1385, 54, 43.225029, 23.059002, 66.343279, 0.000000, 66.343279, 0.000000, 0, 6928, 0, 0.00, 0.00, 0
2018-11-20 14:31:52 (2588750886890) STATS - 20.00, 1405, 54, 42.425803, 22.607054, 65.093375, 0.000000, 65.093375, 0.000000, 0, 7025, 0, 0.00, 0.00, 0
2018-11-20 14:31:52 (2588770116893) STATS - 25.00, 1412, 54, 42.243666, 22.657115, 64.956061, 0.000000, 64.956061, 0.000000, 0, 7062, 0, 0.00, 0.00, 0
2018-11-20 14:31:52 (2588781729994) STATS - 30.00, 1413, 54, 42.347320, 22.576694, 64.987154, 0.000000, 64.987154, 0.000000, 0, 7067, 0, 0.00, 0.00, 0
2018-11-20 14:31:52 (2588800327396) STATS - 35.00, 1423, 54, 42.059866, 22.420893, 64.574022, 0.000000, 64.574022, 0.000000, 0, 7116, 0, 0.00, 0.00, 0
2018-11-20 14:31:52 (2588811525197) STATS - 40.00, 1421, 54, 42.127041, 22.430876, 64.626209, 0.000000, 64.626209, 0.000000, 0, 7109, 0, 0.00, 0.00, 0
2018-11-20 14:31:52 (2588829740199) STATS - 45.00, 1400, 54, 42.582018, 22.753802, 65.395072, 0.000000, 65.395072, 0.000000, 0, 7002, 0, 0.00, 0.00, 0
2018-11-20 14:31:52 (2588840310201) STATS - 50.00, 1393, 54, 42.895553, 22.862435, 65.811870, 0.000000, 65.811870, 0.000000, 0, 6966, 0, 0.00, 0.00, 0
2018-11-20 14:31:53 (2588850846502) STATS - 55.00, 1435, 54, 41.556715, 22.291104, 63.923761, 0.000000, 63.923761, 0.000000, 0, 7179, 0, 0.00, 0.00, 0
2018-11-20 14:31:53 (2588860950403) STATS - 60.00, 1445, 54, 41.211567, 22.073379, 63.355419, 0.000000, 63.355419, 0.000000, 0, 7229, 0, 0.00, 0.00, 0
2018-11-20 14:31:53 (2588870896404) STATS - 65.00, 1432, 54, 41.737416, 22.211750, 64.022511, 0.000000, 64.022511, 0.000000, 0, 7161, 0, 0.00, 0.00, 0
2018-11-20 14:31:53 (2588880614505) STATS - 70.00, 1419, 54, 42.341110, 22.518163, 64.921230, 0.000000, 64.921230, 0.000000, 0, 7096, 0, 0.00, 0.00, 0
2018-11-20 14:31:53 (2588888714106) STATS - 70.00, 53, 19, 23.283140, 14.253637, 37.586091, 0.000000, 37.586091, 0.000000, 0, 266, 0, 0.00, 0.00, 0
2018-11-20 14:31:53 (2589104928831) STATS - Type, Interval, Responses
2018-11-20 14:31:53 (2589262834049) STATS - GET, 0.1, 0
2018-11-20 14:31:53 (2589263057449) STATS - GET, 0.2, 0
2018-11-20 14:31:53 (2589263145749) STATS - GET, 0.3, 0
2018-11-20 14:31:53 (2589263235549) STATS - GET, 0.4, 0
2018-11-20 14:31:53 (2589263322249) STATS - GET, 0.5, 0
2018-11-20 14:31:53 (2589263454349) STATS - GET, 0.6, 2
2018-11-20 14:31:53 (2589263570349) STATS - GET, 0.7, 2
2018-11-20 14:31:53 (2589263667549) STATS - GET, 0.8, 4
2018-11-20 14:31:53 (2589263773849) STATS - GET, 0.9, 1
2018-11-20 14:31:53 (2589263876649) STATS - GET, 1.0, 2
2018-11-20 14:31:53 (2589263964749) STATS - GET, 1.1, 2
2018-11-20 14:31:53 (2589264104949) STATS - GET, 1.2, 1
2018-11-20 14:31:53 (2589271142950) STATS - GET, 1.3, 0
2018-11-20 14:31:53 (2589271243550) STATS - GET, 1.4, 0
2018-11-20 14:31:53 (2589271331450) STATS - GET, 1.5, 0
2018-11-20 14:31:53 (2589271475950) STATS - GET, 1.6, 0
2018-11-20 14:31:53 (2589271589650) STATS - GET, 1.7, 0
2018-11-20 14:31:53 (2589271682950) STATS - GET, 1.8, 0
2018-11-20 14:31:53 (2589271799350) STATS - GET, 1.9, 0
2018-11-20 14:31:53 (2589271890550) STATS - GET, 2.0, 0
2018-11-20 14:31:53 (2589272025150) STATS - GET, 2.1, 0
2018-11-20 14:31:53 (2589272190950) STATS - GET, 2.2, 1
2018-11-20 14:31:53 (2589272287050) STATS - GET, 2.3, 1
2018-11-20 14:31:53 (2589272378250) STATS - GET, 2.4, 0
2018-11-20 14:31:53 (2589272744350) STATS - GET, 2.5, 0
2018-11-20 14:31:53 (2589272890150) STATS - GET, 2.6, 0
2018-11-20 14:31:53 (2589273011650) STATS - GET, 2.7, 0
2018-11-20 14:31:53 (2589273104950) STATS - GET, 2.8, 0
2018-11-20 14:31:53 (2589273197150) STATS - GET, 2.9, 0
2018-11-20 14:31:53 (2589273355450) STATS - GET, 3.0, 0
2018-11-20 14:31:53 (2589273469250) STATS - GET, 3.1, 0
2018-11-20 14:31:53 (2589273562350) STATS - GET, 3.2, 0
2018-11-20 14:31:53 (2589273680550) STATS - GET, 3.3, 0
2018-11-20 14:31:53 (2589273839850) STATS - GET, 3.4, 1
2018-11-20 14:31:53 (2589274051550) STATS - GET, 3.5, 0
2018-11-20 14:31:53 (2589281220351) STATS - GET, 3.6, 0
2018-11-20 14:31:53 (2589281379451) STATS - GET, 3.7, 0
2018-11-20 14:31:53 (2589281511051) STATS - GET, 3.8, 0
2018-11-20 14:31:53 (2589281601151) STATS - GET, 3.9, 0
2018-11-20 14:31:53 (2589281691651) STATS - GET, 4.0, 0
2018-11-20 14:31:53 (2589281781351) STATS - GET, 4.1, 0
2018-11-20 14:31:53 (2589281899351) STATS - GET, 4.2, 0
2018-11-20 14:31:53 (2589281982751) STATS - GET, 4.3, 0
2018-11-20 14:31:53 (2589282083651) STATS - GET, 4.4, 0
2018-11-20 14:31:53 (2589282199951) STATS - GET, 4.5, 0
2018-11-20 14:31:53 (2589282300551) STATS - GET, 4.6, 0
2018-11-20 14:31:53 (2589282418251) STATS - GET, 4.7, 0
2018-11-20 14:31:53 (2589282521351) STATS - GET, 4.8, 1
2018-11-20 14:31:53 (2589282649951) STATS - GET, 4.9, 0
2018-11-20 14:31:53 (2589282734051) STATS - GET, 5.0, 0
2018-11-20 14:31:53 (2589282822751) STATS - GET, 5.1, 0
2018-11-20 14:31:53 (2589282953551) STATS - GET, 5.2, 1
2018-11-20 14:31:53 (2589283031551) STATS - GET, 5.3, 2
2018-11-20 14:31:53 (2589283108551) STATS - GET, 5.4, 3
2018-11-20 14:31:53 (2589283185651) STATS - GET, 5.5, 0
2018-11-20 14:31:53 (2589283262951) STATS - GET, 5.6, 0
2018-11-20 14:31:53 (2589283341951) STATS - GET, 5.7, 0
2018-11-20 14:31:53 (2589283420151) STATS - GET, 5.8, 0
2018-11-20 14:31:53 (2589283497951) STATS - GET, 5.9, 0
2018-11-20 14:31:53 (2589283577351) STATS - GET, 6.0, 0
2018-11-20 14:31:53 (2589283658051) STATS - GET, 6.1, 0
2018-11-20 14:31:53 (2589283737751) STATS - GET, 6.2, 0
2018-11-20 14:31:53 (2589283815451) STATS - GET, 6.3, 1
2018-11-20 14:31:53 (2589290864652) STATS - GET, 6.4, 0
2018-11-20 14:31:53 (2589290991752) STATS - GET, 6.5, 0
2018-11-20 14:31:53 (2589291069852) STATS - GET, 6.6, 0
2018-11-20 14:31:53 (2589291144752) STATS - GET, 6.7, 0
2018-11-20 14:31:53 (2589291219552) STATS - GET, 6.8, 0
2018-11-20 14:31:53 (2589291325852) STATS - GET, 6.9, 0
2018-11-20 14:31:53 (2589291435352) STATS - GET, 7.0, 0
2018-11-20 14:31:53 (2589291530052) STATS - GET, 7.1, 0
2018-11-20 14:31:53 (2589291614052) STATS - GET, 7.2, 0
